url,name,location,description,point,star
https://www.booking.com/hotel/vn/ravatel-home.vi.html,Ravatel Home Bac Giang,"1A, Thanh Nien Street, Le Loi Ward, Bắc Giang, Việt Nam","Tọa lạc ở Bắc Giang, cách Trung tâm mua sắm AEON MALL Long Biên 47 km, Ravatel Home Bac Giang cung cấp chỗ nghỉ có xe đạp miễn phí, chỗ đậu xe riêng miễn phí, trung tâm thể dục và khu vườn. Mỗi phòng tại khách sạn 3 sao này đều nhìn ra thành phố, đồng thời khách có thể sử dụng hồ bơi trong nhà và phòng xông hơi khô. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình vệ tinh, minibar, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Mỗi phòng đều có phòng tắm riêng với máy sấy tóc, trong đó một số phòng có bếp với tủ lạnh. Tại khách sạn, các phòng được thiết kế có ga trải giường và khăn tắm.

Tại Ravatel Home Bac Giang, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực Hoa, Tứ Xuyên và Việt. Bên cạnh đó, họ có thể yêu cầu món chay, không chứa sữa và món thuần chay.

Chỗ nghỉ có sân hiên. Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, Ravatel Home Bac Giang có dịch vụ thuê ô tô.

Sân bay Quốc tế Nội Bài cách 51 km.",8.9,3.0
https://www.booking.com/hotel/vn/mandala-amp-suites-bac-giang.vi.html,Mandala Hotel & Suites Bac Giang,"55 Nguyễn Văn Cừ, Bắc Giang, Việt Nam","Với quầy bar, Mandala Hotel & Suites Bac Giang nằm ở Bắc Giang, Bac Giang, cách Trung tâm mua sắm AEON MALL Long Biên 49 km. Khách sạn 5 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Một số phòng tại chỗ nghỉ có ban công với view thành phố.

Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Một số phòng có bếp với tủ lạnh, lò vi sóng và minibar. Tại Mandala Hotel & Suites Bac Giang, tất cả các phòng có khu vực ghế ngồi.

Chỗ nghỉ có phục vụ bữa sáng kiểu lục địa mỗi sáng.

Sân bay Quốc tế Nội Bài cách 52 km.",8.9,5.0
https://www.booking.com/hotel/vn/muong-thanh-bac-giang.vi.html,Muong Thanh Grand Bac Giang Hotel,"Square 3/2, Hoang Van Thu, Ngo Quyen, Bắc Giang, Việt Nam","Muong Thanh Bac Giang Hotel cung cấp chỗ nghỉ hiện đại và trang nhã với hồ bơi ngoài trời, sân tennis, trung tâm thể dục cũng như WiFi miễn phí trong toàn bộ khuôn viên. Chỗ nghỉ này có lễ tân 24 giờ và chỗ đỗ xe miễn phí trong khuôn viên.

Với tầm nhìn ra quang cảnh thành phố, các phòng và suite gắn máy điều hòa tại đây có tủ để quần áo, két an toàn (trong phòng), TV truyền hình cáp màn hình phẳng, minibar cũng như ấm đun nước điện. Phòng tắm riêng đi kèm tiện nghi vòi sen/bồn tắm, máy sấy tóc và đồ vệ sinh cá nhân miễn phí.

Tại Muong Thanh Bac Giang Hotel, du khách có thể thư giãn trong phòng xông hơi khô hoặc tận hưởng dịch vụ mát-xa thư giãn tại spa. Chỗ nghỉ cung cấp dịch vụ văn phòng và tiện nghi tổ chức tiệc trong khi dịch vụ giặt là và đưa đón sân bay có thể được thu xếp cho du khách.

Khách sạn có nhà hàng, nơi du khách có thể thưởng thức một loạt món ăn địa phương ngon miệng. Các bữa ăn theo chế độ ăn uống đặc biệt có thể được chế biến theo yêu cầu trong khi du khách có thể thưởng thức đủ loại đồ uống tại quầy bar.

Chỗ nghỉ nằm cách sân bay quốc tế Nội Bài khoảng 42 km.",7.8,4.0
https://www.booking.com/hotel/vn/khach-san-huong-sen-bac-giang2.vi.html,Hương Sen Hotel Bac Giang,"Số 02 đường Hùng Vương 3 phường Hoàng Văn Thụ, thành phố Bắc Giang, tỉnh Bắc Giang, Bắc Giang, Việt Nam","Tọa lạc ở Bắc Giang, cách Trung tâm mua sắm AEON MALL Long Biên 47 km, Hương Sen Hotel Bac Giang cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí. Chỗ nghỉ này cung cấp quầy lễ tân 24 giờ và dịch vụ tiền sảnh cho khách.

Tại khách sạn tình nhân, tất cả các phòng đều được thiết kế có bàn làm việc. Ngoài phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, phòng khách tại Hương Sen Hotel Bac Giang có TV màn hình phẳng và điều hòa, đồng thời một số phòng có khu vực ghế ngồi. Tại chỗ nghỉ, phòng nào cũng có ga trải giường và khăn tắm.

Sân bay Quốc tế Nội Bài cách 51 km.",7.5,
https://www.booking.com/hotel/vn/sojo-bac-giang.vi.html,SOJO Hotel Bac Giang,"08 Đường Nguyễn Văn Cừ Phường Trần Phú, Tỉnh Bắc Giang, Bắc Giang, Việt Nam","Nằm ở Bắc Giang, cách Trung tâm mua sắm AEON MALL Long Biên 49 km, SOJO Hotel Bac Giang cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, phòng chờ chung và nhà hàng. Khách sạn 4 sao này có bếp chung và quầy lễ tân 24 giờ. Chỗ nghỉ này cung cấp máy ATM, dịch vụ tiền sảnh và phòng giữ hành lý cho khách.

Các căn tại khách sạn được trang bị điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình cáp, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Phòng khách có bàn làm việc.

Chỗ nghỉ có phục vụ bữa sáng mỗi sáng, gồm các lựa chọn thực đơn buffet, kiểu Mỹ và kiểu Á.

Khách có thể chơi bi-a tại SOJO Hotel Bac Giang.

Chỗ nghỉ cách Phủ Thành Chương 50 km. Sân bay Quốc tế Nội Bài cách 52 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.9,4.0
https://www.booking.com/hotel/vn/trang-anh-bac-giang.vi.html,Trang Anh Hotel Bắc Giang,"Song Khê 1, Bắc Giang, Việt Nam","Nằm ở Bắc Giang thuộc Bac Giang, Trang Anh Hotel Bắc Giang cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tất cả các căn có phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, điều hòa, TV màn hình phẳng và tủ lạnh.

Nhà nghỉ B&B cách Trung tâm mua sắm AEON MALL Long Biên 43 km và Phủ Thành Chương 48 km.",8.6,
https://www.booking.com/hotel/vn/linn-bac-giang-thanh-pho-bac-giang1.vi.html,Linn Hotel Bac Giang,"218 Nguyễn Thị Lưu, Bắc Giang, Việt Nam","Nằm ở Bắc Giang, cách Trung tâm mua sắm AEON MALL Long Biên 49 km, Linn Hotel Bac Giang cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, sân hiên và nhà hàng. Khách sạn 4 sao này cung cấp quầy bar. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các căn tại khách sạn được trang bị điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, bếp, khu vực ăn uống, két an toàn, phòng tắm riêng, vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tại Linn Hotel Bac Giang, các phòng được thiết kế có ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn à la carte, kiểu lục địa hoặc kiểu Á cho bữa sáng.

Sân bay Quốc tế Nội Bài cách 52 km.",9.2,4.0
https://www.booking.com/hotel/vn/ravatel-inn-bac-giang.vi.html,Ravatel Luxury Hotel Bac Giang,"Số 1 đường Hùng Vương 1, phường Lê Lợi, TP Bắc Giang, Việt Nam, Bắc Giang, Việt Nam","Tọa lạc ở thành phố Bắc Giang, Ravatel Luxury Hotel Bac Giang có khu vườn và quầy bar. Mỗi chỗ nghỉ tại khách sạn 4 sao này đều cho tầm nhìn ra quang cảnh thành phố và du khách có thể sử dụng sân chơi cho trẻ em cũng như hồ bơi trong nhà. Nơi đây cung cấp dịch vụ đưa đón miễn phí và WiFi miễn phí.

Phòng nghỉ tại đây được trang bị máy điều hòa, TV truyền hình vệ tinh màn hình phẳng, tủ lạnh, ấm đun nước, bồn tắm và bàn làm việc. Các phòng có tủ để quần áo và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. 

Chỗ nghỉ phục vụ bữa sáng buffet hàng ngày.

Đi xe đạp là một trong những hoạt động du khách có thể tham gia gần khách sạn.

Đội ngũ nhân viên nói tiếng Trung, tiếng Anh và tiếng Hàn tại lễ tân luôn sẵn lòng hỗ trợ du khách bất kỳ lúc nào trong ngày.

Thành phố Hà Nội và sân bay quốc tế Nội Bài đều nằm cách Ravatel Luxury Hotel Bac Giang 90 phút lái xe.",9.1,4.0
https://www.booking.com/hotel/vn/khach-san-huong-son-bac-giang.vi.html,Khách Sạn Hương Sơn,"Đường Hoàng Văn Thụ Số 84, Bắc Giang, Việt Nam","Tọa lạc ở Bắc Giang, cách Trung tâm mua sắm AEON MALL Long Biên 48 km, Khách Sạn Hương Sơn cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí và sân hiên. Ngoài Wi-Fi miễn phí, khách sạn 2 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ.

Phòng khách ở khách sạn được trang bị ấm đun nước. Tại Khách Sạn Hương Sơn, phòng nào cũng có điều hòa và TV màn hình phẳng.

Sân bay Quốc tế Nội Bài cách 52 km.",7.2,2.0
https://www.booking.com/hotel/vn/m-continental-by-mandala-bac-giang.vi.html,M Continental by Mandala Bac Giang,"55 Nguyễn Văn Cừ, Bắc Giang, Việt Nam","M Continental by Mandala Bac Giang là chỗ nghỉ 4 sao nằm ở Bắc Giang, cách Trung tâm mua sắm AEON MALL Long Biên 49 km và Phủ Thành Chương 50 km. Ngoài nhà hàng, chỗ nghỉ còn có quầy bar, hồ bơi trong nhà và phòng xông hơi khô. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Với phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí, các phòng tại khách sạn cũng có Wi-Fi miễn phí. Tại M Continental by Mandala Bac Giang, các phòng đều có điều hòa và TV màn hình phẳng.

Khách tại chỗ nghỉ có thể thưởng thức bữa sáng kiểu lục địa.

Sân bay Quốc tế Nội Bài cách 52 km.",9.3,4.0
