url,name,location,description,point,star
https://www.booking.com/hotel/vn/sen-viet-bac-lieu.vi.html,Hotel Sen Việt Bạc Liêu,"86 Ninh Bình, Bạc Liêu, Việt Nam","Tọa lạc ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 5 km, Hotel Sen Việt Bạc Liêu cung cấp chỗ nghỉ có sân hiên và chỗ đậu xe riêng miễn phí. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và phòng giữ hành lý cho khách.

Tại khách sạn, phòng nào cũng có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Phòng khách đều có tủ lạnh.

Sân bay gần nhất là Sân bay Cà Mau, cách Hotel Sen Việt Bạc Liêu 63 km.",7.4,
https://www.booking.com/hotel/vn/hoang-sa-thanh-pho-bac-lieu1.vi.html,Hoàng Sa Hotel,"Đường Hoàng Sa, Phường Nhà Mát, Thành phố Bạc Liêu, Tỉnh Bạc Liêu 234B/7, Xóm Nhà Mát, Việt Nam","Nằm ở Xóm Nhà Mát, cách Bac Lieu Bird Sanctuary 6.1 km, Hoàng Sa Hotel nhìn rabiển. Ngoài phòng chờ chung, khách sạn 2 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Các căn tại khách sạn đi kèm khu vực ghế ngồi và TV màn hình phẳng có truyền hình cáp. Tại Hoàng Sa Hotel, các phòng được thiết kế có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Cà Mau, cách chỗ nghỉ 71 km.",7.3,2.0
https://www.booking.com/hotel/vn/nha-nghi-binh-dan-so-3-bac-lieu-bac-lieu1.vi.html,NHÀ NGHỈ BÌNH DÂN SỐ 3 BẠC LIÊU,"63 NGUYỄN THỊ BÙI K3 P2 BẠC LIÊU, Bạc Liêu, Việt Nam","Tọa lạc ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 4.4 km, NHÀ NGHỈ BÌNH DÂN SỐ 3 BẠC LIÊU cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa và khu vườn với sân hiên.

Nhà nghỉ B&B có TV màn hình phẳng và phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, dép đi trong phòng và vòi sen. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Khách cũng có thể thư giãn trong khu vực phòng chờ chung.

Sân bay gần nhất là Sân bay Cà Mau, cách NHÀ NGHỈ BÌNH DÂN SỐ 3 BẠC LIÊU 64 km.",7.6,
https://www.booking.com/hotel/vn/khach-san-anh-tuan-thanh-pho-bac-lieu.vi.html,Khách sạn Anh Tuấn,"47 Ninh Bình, Bạc Liêu, Việt Nam","Tọa lạc ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 4.8 km, Khách sạn Anh Tuấn nhìn rathành phố. Ngoài sân hiên, khách sạn 1 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tất cả các căn được trang bị TV màn hình phẳng có truyền hình vệ tinh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Tại khách sạn, tất cả các phòng đều có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Cà Mau, cách Khách sạn Anh Tuấn 63 km.",8.7,1.0
https://www.booking.com/hotel/vn/phung-hoang-vu.vi.html,Phụng Hoàng Vũ,"89 Phan Văn Xoàn, Phường 2, TP.Bạc Liêu, Tỉnh Bạc Liêu, Bạc Liêu, Việt Nam","Phụng Hoàng Vũ tọa lạc ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 4.7 km. Khách sạn 2 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Phòng khách có phòng tắm riêng, máy sấy tóc và ga trải giường.

Sân bay Cà Mau cách 64 km.",8.2,2.0
https://www.booking.com/hotel/vn/thien-an-boutique-bac-lieu.vi.html,Thiên Ân Boutique Hotel,"VincomHG-01, HG-03, đường Trần Huỳnh, Khóm 3, Phường 7, TP Bạc Liêu, Tỉnh Bạc Liêu, Việt Nam., Bạc Liêu, Việt Nam","Nằm ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 7.5 km, Thiên Ân Boutique Hotel cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Ngoài Wi-Fi miễn phí, khách sạn 5 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng, ban công và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Thiên Ân Boutique Hotel, các phòng đều đi kèm với ga trải giường và khăn tắm.

Khách có thể thưởng thức bữa sáng thực đơn à la carte, kiểu Mỹ hoặc kiểu Á tại chỗ nghỉ.

Sân bay gần nhất là Sân bay Cà Mau, cách chỗ nghỉ 62 km.",9.3,5.0
https://www.booking.com/hotel/vn/sunrise-bac-lieu.vi.html,SUNRISE Hotel Bạc Liêu,"Khu Villa Vincom, HG 37-39, Đường Trần Huỳnh, Phường 7, TP. Bạc Liêu, Tỉnh Bạc Liêu, Bạc Liêu, Việt Nam","Nằm ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 7.5 km, SUNRISE Hotel Bạc Liêu cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tất cả các phòng đi kèm điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Ngoài phòng tắm riêng với vòi sen và máy sấy tóc, một số phòng tại khách sạn cũng có view thành phố. Tại SUNRISE Hotel Bạc Liêu, các phòng đều đi kèm với ga trải giường và khăn tắm.

Khách có thể thưởng thức bữa sáng thực đơn à la carte, kiểu Á hoặc món chay tại chỗ nghỉ.

Leo núi và đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn 4 sao này có dịch vụ thuê xe đạp.

Sân bay gần nhất là Sân bay Cà Mau, cách chỗ nghỉ 62 km.",8.9,4.0
https://www.booking.com/hotel/vn/hoang-kim-motel.vi.html,Khách Sạn HOÀNG KIM,"31 Trần Huỳnh Số 31 đường Trần Huỳnh, khóm 2, Bạc Liêu, Việt Nam","Với phòng chờ chung, sân hiên và nhìn rathành phố, Khách Sạn HOÀNG KIM tọa lạc ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 7.2 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Sân bay gần nhất là Sân bay Cà Mau, cách khách sạn 61 km.",8.2,
https://www.booking.com/hotel/vn/khach-san-van-nhi.vi.html,Khách sạn Vân Nhi,"56 Đường Lê Hồng Phong, phường 2, tp.Bạc Liêu, tỉnh Bạc Liêu 6, Bạc Liêu, Việt Nam","Khách sạn Vân Nhi nằm ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 4.8 km. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tất cả các phòng đi kèm điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng với vòi sen và máy sấy tóc, một số phòng tại khách sạn cũng có view thành phố. Tại Khách sạn Vân Nhi, các phòng đều đi kèm với ga trải giường và khăn tắm.

Lễ tân tại chỗ nghỉ có thể cung cấp các thông tin hữu ích để giúp du khách tham quan khu vực xung quanh một cách thuận tiện.

Sân bay gần nhất là Sân bay Cà Mau, cách Khách sạn Vân Nhi 64 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.6,
https://www.booking.com/hotel/vn/sai-gon-bac-lieu.vi.html,SÀI GÒN - BẠC LIÊU Hotel,"04-06 Hoang Van Thu, Bạc Liêu, Việt Nam","Tọa lạc ở Bạc Liêu, cách Bac Lieu Bird Sanctuary 6.1 km, SÀI GÒN - BẠC LIÊU Hotel cung cấp chỗ nghỉ có phòng chờ chung, chỗ đậu xe riêng miễn phí, sân hiên và nhà hàng. Khách sạn 3 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Chỗ nghỉ này cung cấp máy ATM, dịch vụ tiền sảnh và tổ chức các tour du lịch cho khách.

Phòng khách được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Với phòng tắm riêng được trang bị vòi sen và máy sấy tóc, các phòng tại khách sạn cũng có Wi-Fi miễn phí, trong đó một số phòng có view thành phố. Tất cả các căn tại SÀI GÒN - BẠC LIÊU Hotel đi kèm khu vực ghế ngồi.

Sân bay Cà Mau cách 63 km.",6.7,3.0
