url,name,location,description,point,star
https://www.booking.com/hotel/vn/bob.vi.html,B.O.B Hotel,"Tôn Đức Thắng 105, Cao Lãnh, Việt Nam","B.O.B Hotel tọa lạc ở Cao Lãnh và có phòng chờ chung. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Phòng khách ở khách sạn được trang bị ấm đun nước. Mỗi phòng đều được thiết kế có điều hòa và TV, ngoài ra một số căn tại B.O.B Hotel có view thành phố. Tại chỗ nghỉ, các phòng đều đi kèm với ga trải giường và khăn tắm.

Khách tại B.O.B Hotel có thể thưởng thức bữa sáng thực đơn à la carte hoặc kiểu Á.

Lễ tân tại khách sạn có thể tư vấn cho khách về khu vực xung quanh.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách B.O.B Hotel 83 km.",8.4,
https://www.booking.com/hotel/vn/homestay-hoang-gia-dong-thap.vi.html,HOMESTAY Hoàng GIa,"Số nhà 628, Ấp An Nghiệp, Xã An Bình, Huyện Cao Lãnh, Tỉnh Đồng Tháp, Ấp Ông Tú, Việt Nam","Với Vinh Long Museum nằm cách đó 47 km, HOMESTAY Hoàng GIa cung cấp chỗ nghỉ, nhà hàng, khu vườn, phòng chờ chung và sân hiên. Biệt thự đồng quê có WiFi và chỗ đậu xe riêng miễn phí.

Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

HOMESTAY Hoàng GIa có cả dịch vụ cho thuê xe đạp và dịch vụ cho thuê ô tô, đồng thời du khách có thể đi xe đạp gần đó.

Sân bay Quốc tế Cần Thơ cách 77 km.",8,
https://www.booking.com/hotel/vn/thu-le-cao-lanh.vi.html,THƯ LÊ Hotel,"Số PG2-01,PG2-02 TRUNG TÂM THƯƠNG MẠI VINCOM CAO LÃNH,ĐƯỜNG 30/04,PHƯỜNG 1,TP CAO LÃNH,ĐỒNG THÁP., Cao Lãnh, Việt Nam","Tọa lạc ở Cao Lãnh, Đồng Tháp, THƯ LÊ Hotel nằm cách Vinh Long Museum 49 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón, dịch vụ phòng và Wi-Fi miễn phí.

Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, phòng khách tại khách sạn có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại THƯ LÊ Hotel, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách chỗ nghỉ 76 km.",8.5,
https://www.booking.com/hotel/vn/de-vuong-2.vi.html,De Vuong 2,"274 Hung Vuong, Cao Lãnh, Việt Nam","Tọa lạc ở Cao Lãnh, cách Vinh Long Museum 49 km, De Vuong 2 cung cấp chỗ nghỉ có xe đạp miễn phí, chỗ đậu xe riêng miễn phí, phòng chờ chung và sân hiên. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Du khách có thể tận hưởng cảnh thành phố.

Tại khách sạn, mỗi phòng đều được thiết kế có bàn làm việc. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, tất cả các căn tại De Vuong 2 có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại chỗ nghỉ, tất cả các phòng đều có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách De Vuong 2 81 km.",8.3,
https://www.booking.com/hotel/vn/huynh-duc.vi.html,Huynh Duc Hotel,"1 Ngo Thoi Nham, Ward 1, Cao Lãnh, Việt Nam","Huynh Duc Hotel có Wi-Fi miễn phí, sân hiên tắm nắng và các chỗ ở tại thành phố Cao Lãnh, trong bán kính khoảng 150 km về phía Tây của Thành phố Hồ Chí Minh. Chỗ đỗ xe riêng được cung cấp miễn phí trong khuôn viên.

Mỗi phòng tại khách sạn đều có máy lạnh và TV màn hình phẳng. Một số phòng có khu vực tiếp khách để quý khách thư giãn sau một ngày bận rộn. Mỗi phòng còn đi kèm phòng tắm riêng.

Khách sạn có lễ tân 24 giờ.

Khách sạn cung cấp dịch vụ cho thuê xe đạp. Sân bay gần nhất là Sân bay Rạch Giá, cách đó 79 km. Khách sạn cách Sân bay Cần Thơ 90 km và Sân bay Quốc tế Tân Sơn Nhất 150 km. Thành phố Vĩnh Long cách đó 43 km.",8.5,1.0
https://www.booking.com/hotel/vn/khach-san-thu-le-luxury.vi.html,KHÁCH SẠN THƯ LÊ LUXURY,"PG3-01, PG3-02, VINCOMSHOPHOUSE CAO LÃNH, ĐƯỜNG 30/4, PHƯỜNG 01, TP CAO LÃNH, ĐỒNG THÁP, Cao Lãnh, Việt Nam","Tọa lạc ở Cao Lãnh, Đồng Tháp, KHÁCH SẠN THƯ LÊ LUXURY nằm cách Vinh Long Museum 49 km. Ngoài sân hiên, khách sạn 2 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tại khách sạn, tất cả các phòng đều có tủ quần áo. Tất cả các phòng đều được thiết kế có bàn làm việc và TV màn hình phẳng, ngoài ra một số căn tại KHÁCH SẠN THƯ LÊ LUXURY có ban công. Tại chỗ nghỉ, phòng nào cũng có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách KHÁCH SẠN THƯ LÊ LUXURY 82 km.",8.7,2.0
https://www.booking.com/hotel/vn/bob-signature.vi.html,B.O.B HOTEL SIGNATURE,"111 Tôn Đức Thắng 111, Cao Lãnh, Việt Nam","Nằm ở Cao Lãnh, B.O.B HOTEL SIGNATURE có khu vườn và sân hiên. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tất cả các căn ở khách sạn được trang bị ấm đun nước. Các phòng được thiết kế có điều hòa và TV màn hình phẳng, ngoài ra một số phòng tại B.O.B HOTEL SIGNATURE có view thành phố. Các căn đều có tủ lạnh.

Chỗ nghỉ có phục vụ bữa sáng thực đơn à la carte mỗi buổi sáng.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách B.O.B HOTEL SIGNATURE 83 km.",8.8,
https://www.booking.com/hotel/vn/aoc-thanh-pho-cao-lanh.vi.html,AOC HOTEL,"227 Nguyễn Thái Học 227 Nguyễn Thái Học, Cao Lãnh, Việt Nam","AOC HOTEL cung cấp chỗ nghỉ tại Cao Lãnh. Ngoài phòng gia đình, chỗ nghỉ này cũng cung cấp cho khách sân hiên. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách khách sạn 80 km, đồng thời chỗ nghỉ này cũng cung cấp dịch vụ đưa đón sân bay mất phí.",8,
https://www.booking.com/hotel/vn/phuong-nam-sa-dec-thanh-pho-sa-dec1.vi.html,Phuong Nam Sa Đec Hotel,"Đường Nguyễn Tất Thành, Ấp Phú Thuận (1), Việt Nam","Tọa lạc ở Ấp Phú Thuận (1), Đồng Tháp, Phuong Nam Sa Đec Hotel nằm cách Vinh Long Museum 25 km. Ngoài Wi-Fi miễn phí, khách sạn 1 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Chỗ nghỉ này cung cấp máy ATM, bàn bán tour và dịch vụ thu đổi ngoại tệ cho khách.

Tại khách sạn, mỗi phòng đều được thiết kế có điều hòa, bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm và ban công với view thành phố. Phòng khách đều có tủ lạnh.

Sân bay gần nhất là Sân bay Quốc tế Cần Thơ, cách Phuong Nam Sa Đec Hotel 60 km.",4.6,1.0
https://www.booking.com/hotel/vn/huynh-duc-2.vi.html,Huynh Duc 2 Hotel,"09 Ngô Thời Nhậm, Phường 1, Cao Lãnh, Việt Nam","Tọa lạc ở Cao Lãnh, cách Vinh Long Museum 49 km, Huynh Duc 2 Hotel cung cấp chỗ nghỉ có phòng chờ chung, chỗ đậu xe riêng miễn phí, sân hiên và nhà hàng. Khách sạn 2 sao này cung cấp quầy bar. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm chung, vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Phòng khách có tủ quần áo.

Sân bay Quốc tế Cần Thơ cách 81 km.",8.2,2.0
