url,name,location,description,point,star
https://www.booking.com/hotel/vn/bo.vi.html,YO Hotel,"22 Phố Đào Đạo, Hải Dương, Việt Nam","Tọa lạc ở Hải Dương, cách Nhà hát lớn Hải Phòng 44 km, YO Hotel cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Khách sạn nằm cách Trung tâm thương mại Vincom Ngô Quyền khoảng 45 km và Hai Phong Railway Station 45 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Tất cả các phòng có phòng tắm riêng, máy sấy tóc và ga trải giường.

Khách sạn có phục vụ bữa sáng thực đơn à la carte hằng ngày.

Sân bay Quốc tế Cát Bi cách 50 km.",9.4,3.0
https://www.booking.com/hotel/vn/asean-hai-duong.vi.html,Asean Hotel,"168 Trần Hưng Đạo, Hải Dương, Việt Nam","Nằm ở Hải Dương, cách Nhà hát lớn Hải Phòng 43 km, Asean Hotel cung cấp chỗ nghỉ có phòng chờ chung, chỗ đậu xe riêng miễn phí và sân hiên. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp quầy lễ tân 24 giờ. Khách sạn có phòng gia đình.

Các căn đi kèm điều hòa, tủ lạnh, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng được trang bị vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Tại Asean Hotel, tất cả các phòng có ga trải giường và khăn tắm.

Chỗ nghỉ cách Trung tâm thương mại Vincom Ngô Quyền 44 km và Hai Phong Railway Station 44 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách Asean Hotel 50 km.",6.9,3.0
https://www.booking.com/hotel/vn/nk-cong-doan-hai-duong.vi.html,NK Công Đoàn Hải Dương,"107b Chi Lăng, Hải Dương, Việt Nam","Nằm ở Hải Dương, cách Nhà hát lớn Hải Phòng 46 km, NK Công Đoàn Hải Dương cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, sân hiên và nhà hàng. Khách sạn nằm cách Trung tâm thương mại Vincom Ngô Quyền khoảng 46 km và Hai Phong Railway Station 46 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, các phòng đều có tủ quần áo. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, tất cả các phòng tại NK Công Đoàn Hải Dương có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Phòng khách đều có bàn làm việc và ấm đun nước để khách sử dụng.

Sân bay Quốc tế Cát Bi cách 52 km.",7.8,3.0
https://www.booking.com/hotel/vn/purple-lotus.vi.html,Purple Lotus Hotel,"232 Đường Trường Chinh, Phường Tân Bình, Thành Phố Hải Dương, Tỉnh Hải Dương, Hải Dương, Việt Nam","Nằm ở Hải Dương, cách Nhà hát lớn Hải Phòng 48 km, Purple Lotus Hotel cung cấp chỗ nghỉ có trung tâm thể dục, chỗ đậu xe riêng miễn phí, phòng chờ chung và nhà hàng. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ. Chỗ nghỉ này cung cấp máy ATM và dịch vụ tiền sảnh cho khách.

Khách sạn cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Một số phòng có bếp với bếp. Tất cả các phòng có tủ quần áo.

Purple Lotus Hotel cách Trung tâm thương mại Vincom Ngô Quyền 48 km. Sân bay Quốc tế Cát Bi cách 67 km.",8.8,3.0
https://www.booking.com/hotel/vn/phuong-anh.vi.html,Phuong Anh Hotel 1 Hai Duong,"Lot 18.1-3 Nam Cuong Urban Western, Ngo Quyen, Hải Dương, Việt Nam","Phuong Anh Hotel 1 Hai Duong tọa lạc ở Hải Dương, cách Chợ Thanh Bình khoảng 10 phút lái xe. Các phòng máy lạnh hiện đại tại đây đi kèm với Wi-Fi miễn phí và TV màn hình phẳng. Khách sạn có trung tâm thể dục và trung tâm dịch vụ doanh nhân. Nhà hàng ngay trong khuôn viên nơi này phục vụ các món ăn Việt Nam và quốc tế cũng như cung cấp dịch vụ ăn uống tại phòng.

Tất cả các phòng đều có tầm nhìn ra khu vườn hoặc thành phố và đi kèm với sàn trải thảm cũng như máy lạnh. Minibar và tiện nghi pha trà/cà phê cũng được cung cấp trong phòng. Các phòng tắm riêng được trang bị vòi sen.

Phuong Anh Hotel 1 Hai Duong nằm trong bán kính 1 km từ Trung tâm Thành phố Hải Dương và 4 km từ Ga Xe lửa Hải Dương. Khách sạn cách Hồ An Dương 30 phút lái xe. Thủ đô Hà Nội cách đó 50 km.

Khách sạn cung cấp dịch vụ giặt là và vận chuyển sân bay kèm phụ phí. Du khách có thể cất giữ hành lý tại quầy lễ tân 24 giờ. Chỗ đỗ xe được cung cấp miễn phí.",7.7,
https://www.booking.com/hotel/vn/phuong-anh-2.vi.html,Phuong Anh Hotel 2 Hai Duong,"03 Truong Chinh Street, Hải Dương, Việt Nam","Tọa lạc ở Hải Dương, cách Nhà hát lớn Hải Phòng 46 km, Phuong Anh Hotel 2 Hai Duong cung cấp chỗ nghỉ có xe đạp miễn phí, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Khách sạn 3 sao này cung cấp bếp chung, dịch vụ phòng và Wi-Fi miễn phí. Các món ăn Mỹ, Quảng Đông, Hoa và Anh được phục vụ tại nhà hàng ngay trong khuôn viên.

Phòng khách tại khách sạn được trang bị điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Phuong Anh Hotel 2 Hai Duong cung cấp một số căn nhìn ra thành phố và các phòng được thiết kế có sân trong. Tại chỗ nghỉ, phòng nào cũng có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa hằng ngày.

Phuong Anh Hotel 2 Hai Duong có sân hiên. Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn có dịch vụ thuê ô tô.

Thành thạo tiếng Anh, tiếng Indonesia, tiếng Nhật và tiếng Malaysia, đội ngũ nhân viên tại lễ tân 24/24 luôn túc trực để hỗ trợ khách.

Phuong Anh Hotel 2 Hai Duong cách Trung tâm thương mại Vincom Ngô Quyền 46 km và Hai Phong Railway Station 46 km. Chỗ nghỉ cách Sân bay Quốc tế Cát Bi 52 km và cung cấp dịch vụ đưa đón sân bay mất phí.",7.7,3.0
https://www.booking.com/hotel/vn/mandala-amp-suites-hai-duong.vi.html,Mandala Hotel & Suites Hai Duong,"Ngã tư Lê Thanh Nghị - Yết Kiêu, Hải Dương, Việt Nam","Nằm ở Hải Dương, cách Nhà hát lớn Hải Phòng 47 km và Trung tâm thương mại Vincom Ngô Quyền 47 km, Mandala Hotel & Suites Hai Duong cung cấp chỗ nghỉ có nhà hàng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ cũng như chỗ đậu xe riêng miễn phí cho khách lái xe. Khách sạn 4 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Khách sạn có hồ bơi trong nhà và dịch vụ tiền sảnh.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, két an toàn, TV màn hình phẳng, ban công và phòng tắm riêng với vòi sen. Tại Mandala Hotel & Suites Hai Duong, các phòng đều có ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa cho bữa sáng.

Chỗ nghỉ cách Hai Phong Railway Station 47 km. Chỗ nghỉ cách Sân bay Quốc tế Cát Bi 69 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.7,4.0
https://www.booking.com/hotel/vn/khach-san-song-lo.vi.html,Khách Sạn Sông Lô,"281 Bùi Thị Xuân, Hải Dương, Việt Nam","Nằm cách Nhà hát lớn Hải Phòng 45 km và Trung tâm thương mại Vincom Ngô Quyền 46 km, Khách Sạn Sông Lô cung cấp các phòng ở Hải Dương. Khách sạn 2 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Khách sạn có phòng gia đình.

Tại khách sạn, mỗi phòng đều có ban công. Tại Khách Sạn Sông Lô, tất cả các phòng đều có điều hòa và TV màn hình phẳng.

Chỗ nghỉ cách Hai Phong Railway Station 46 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách Khách Sạn Sông Lô 51 km.",8.2,2.0
https://www.booking.com/hotel/vn/star-hai-duong.vi.html,Star Hotel Hai Duong,"Lot  62, 26 Do Thi Phia Dong, Block 1, Hai Tan Ward, Hải Dương, Việt Nam","Tọa lạc ở Hải Dương, cách Nhà hát lớn Hải Phòng 45 km, Star Hotel Hai Duong cung cấp chỗ nghỉ có xe đạp miễn phí, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Ngoài nhà hàng, khách sạn 1 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp bếp chung, dịch vụ phòng và dịch vụ thu đổi ngoại tệ cho khách.

Tất cả các căn được trang bị TV màn hình phẳng có truyền hình cáp, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Tại khách sạn, tất cả các phòng đều có ga trải giường và khăn tắm.

Star Hotel Hai Duong có sân hiên phơi nắng. Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, chỗ nghỉ có dịch vụ thuê ô tô.

Với đội ngũ nhân viên thành thạo tiếng Anh, tiếng Indonesia, tiếng Malaysia và tiếng Việt, dịch vụ thông tin luôn có sẵn tại lễ tân.

Star Hotel Hai Duong cách Trung tâm thương mại Vincom Ngô Quyền 46 km và Hai Phong Railway Station 46 km. Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách khách sạn 51 km, đồng thời chỗ nghỉ này cũng cung cấp dịch vụ đưa đón sân bay mất phí.",7.8,1.0
https://www.booking.com/hotel/vn/apec-mandala-wyndham-hai-duong-hai-duong.vi.html,Apec Mandala hotel & suites Hải dương,"Cầu Hải Tân, Hải Dương, Việt Nam","Tọa lạc ở Hải Dương, cách Nhà hát lớn Hải Phòng 46 km, Trung tâm thương mại Vincom Ngô Quyền 46 km và Hai Phong Railway Station 46 km, Apec Mandala hotel & suites Hải dương cung cấp chỗ nghỉ có sân hiên và Wi-Fi miễn phí. Căn hộ có hồ bơi riêng, khu vườn và chỗ đậu xe riêng miễn phí.

Căn hộ điều hòa này có 1 phòng ngủ riêng biệt, bếp đầy đủ tiện nghi, cùng 1 phòng tắm. TV màn hình phẳng được cung cấp.

Trong thời gian lưu trú tại căn hộ, khách được tùy ý sử dụng tiện nghi chăm sóc sức khoẻ và spa, bao gồm hồ bơi trong nhà và trung tâm thể dục.

Sân bay gần nhất là Sân bay Quốc tế Cát Bi, cách Apec Mandala hotel & suites Hải dương 67 km.",7.8,3.0
