url,name,location,description,point,star
https://www.booking.com/hotel/vn/m-continental-by-mandala-phu-yen.vi.html,M Continental by Mandala Phu Yen,"ĐL Hùng Vương, Phường 7, Liên Trì (3), Việt Nam","Nằm ở Liên Trì (3), cách Bãi biển Tuy Hòa 19 phút đi bộ, M Continental by Mandala Phu Yen cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Khách sạn 5 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Khách sạn có phòng gia đình.

Phòng tắm riêng được trang bị vòi sen, máy sấy tóc và dép đi trong phòng. Tất cả các phòng tại khách sạn có điều hòa và bàn làm việc.

M Continental by Mandala Phu Yen có phục vụ bữa sáng thực đơn à la carte và kiểu lục địa mỗi buổi sáng.

Sân bay Tuy Hòa cách 6 km.",8.9,5.0
https://www.booking.com/hotel/vn/apec-mandala-phu-yen-condotel-thanh-pho-tuy-hoa.vi.html,Apec Mandala Phu Yen Condotel,"Đại lộ Hùng Vương Apec Mandala Building, Liên Trì (3), Việt Nam","Cách Bãi biển Tuy Hòa 19 phút đi bộ, Apec Mandala Phu Yen Condotel có quầy bar, sân trong và Wi-Fi miễn phí.

Được thiết kế với ban công, các căn có điều hòa, TV màn hình phẳng, cùng phòng tắm riêng gồm vòi sen và đồ vệ sinh cá nhân miễn phí. Tủ lạnh và ấm đun nước đều được cung cấp.

Sân bay gần nhất là Sân bay Tuy Hòa, cách khách sạn căn hộ 6 km.",9.1,3.0
https://www.booking.com/hotel/vn/khach-san-gan-bien-karina-phu-yen.vi.html,Khách sạn gần biển Karina Phú Yên,"HT13 - 80 Lê Duẩn HT13, Liên Trì (4), Việt Nam","Nằm ở Liên Trì (4) và cách Bãi biển Tuy Hòa 4 phút đi bộ, Khách sạn gần biển Karina Phú Yên cung cấp dịch vụ tiền sảnh, các phòng không gây dị ứng, khu vườn, Wi-Fi miễn phí ở toàn bộ chỗ nghỉ và khu vực bãi biển riêng. Ngoài bếp chung, chỗ nghỉ này còn có sân hiên. Khách sạn có phòng gia đình.

Các căn đi kèm điều hòa, tủ lạnh, minibar, máy pha cà phê, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng được thiết kế có phòng tắm riêng với máy sấy tóc, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Tại khách sạn, mỗi phòng đều có ga trải giường và khăn tắm.

Lễ tân tại Khách sạn gần biển Karina Phú Yên có thể cung cấp các thông tin hữu ích để giúp du khách tham quan khu vực xung quanh một cách thuận tiện.

Sân bay Tuy Hòa cách 8 km.",8.6,
https://www.booking.com/hotel/vn/handstay-nghinh-phong.vi.html,HANDstay Nghinh Phong,"14 Đường Nguyễn Văn Huyên, Liên Trì (4), Việt Nam","Tọa lạc ở Liên Trì (4), HANDstay Nghinh Phong có khu vườn, sân hiên, quầy bar, cùng Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tại khách sạn, mỗi phòng đều được thiết kế có tủ quần áo. Phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Phòng khách tại HANDstay Nghinh Phong có điều hòa và bàn làm việc.

Chỗ nghỉ cách Bãi biển Tuy Hòa chưa đến 1 km. Sân bay gần nhất là Sân bay Tuy Hòa, cách HANDstay Nghinh Phong 8 km.",9.6,
https://www.booking.com/hotel/vn/g9-tuy-hoa.vi.html,HAKU Boutique Hotel Tuy Hoà,"Lô SH 51-52-52A Khu APEC Mandala WYNDHAM Phú Yên, Tuy Hoà, Việt Nam","Tọa lạc ở Tuy Hoà, cách Bãi biển Tuy Hòa 18 phút đi bộ, HAKU Boutique Hotel Tuy Hoà cung cấp chỗ nghỉ có phòng chờ chung và chỗ đậu xe riêng miễn phí. Ngoài dịch vụ tiền sảnh, chỗ nghỉ này còn có sân hiên phơi nắng. Chỗ nghỉ này cung cấp bếp chung, dịch vụ phòng và tổ chức các tour du lịch cho khách.

Tại khách sạn, mỗi phòng đều được thiết kế có tủ quần áo. Các phòng được thiết kế có bàn làm việc và TV màn hình phẳng, ngoài ra một số căn tại HAKU Boutique Hotel Tuy Hoà có ban công. Tại chỗ nghỉ, tất cả các phòng đều được thiết kế có phòng tắm riêng với đồ vệ sinh cá nhân miễn phí và máy sấy tóc.

Leo núi là hoạt động được ưa chuộng trong khu vực. Ngoài ra, HAKU Boutique Hotel Tuy Hoà có dịch vụ thuê ô tô.

Đội ngũ nhân viên lễ tân giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Sân bay gần nhất là Sân bay Tuy Hòa, cách khách sạn 7 km.",8.6,
https://www.booking.com/hotel/vn/tui-blue-tuy-hoa.vi.html,TUI BLUE Tuy Hoa - Wellness & Retreat Hotel,"02 Hai Duong Street, Binh Ngoc, Tuy Hoà, Việt Nam","Standing tall on Hai Duong street, TUI BLUE Tuy Hoa - Wellness & Retreat Hotel offers contemporary accommodation in Tuy Hoa. Boasting a swimming pool, the hotel offers a vast variety of restaurants and a fitness centre. Guests can enjoy free parking on site.

Featuring free WiFi access, all well-appointed units are decorated in white shade with hints of light brown from the fabric and black from the furnishings. All units enjoy air conditioning, a cable flat-screen TV and minibar. En suite bathroom is equipped with a bathtub, hairdryer, slippers and free toieltries.

For relaxation, guests can head to the services: JJIMJILBANG, ONSEN, TAICHI GARDEN, SPA & BEAUTY. Staff at 24-hour front desk can assist you with luggage storage and express check-in/check-out. Tour arrangement, car/motorbike rental and airport transfer can be made at the tour desk.

Available for all-day dining, The Restaurant serves a delectable spread of international and Asian delights. Meals are well complemented with a selection of global wines from Australia, France and Italy. Room service can be requested.

Tuy Hoa Catholic Church and Bao Tinh Church are within 5-minute drive from TUI BLUE Tuy Hoa - Wellness & Retreat Hotel, while Tuy Hoa public beach can be reached within a 10-minute drive. A 15-minute drive can take you to the nearest airport, Tuy Hoa Airport.",9.5,5.0
https://www.booking.com/hotel/vn/apec-mandala-whynham-phu-yen-q-house.vi.html,Apec Phú Yên SeaView Condotel,"Đại Lộ Hùng Vương, phường 7, Tuy Hòa, Phú Yên, Tuy Hoà, Việt Nam","Tọa lạc ở Tuy Hoà, cách Bãi biển Tuy Hòa 18 phút đi bộ, Apec Phú Yên SeaView Condotel cung cấp Wi-Fi miễn phí và nhìn ra biển.

Được thiết kế với sân hiên, các căn có điều hòa, TV màn hình phẳng, cùng phòng tắm riêng gồm vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí. Tất cả các căn đều được thiết kế có ban công nhìn ra thành phố.

Sau một ngày leo núi hoặc đi xe đạp, khách có thể thư giãn trong khu vườn hoặc khu vực phòng chờ chung.

Sân bay Tuy Hòa cách 6 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.9,3.0
https://www.booking.com/hotel/vn/khach-san-gan-bien-miami.vi.html,Khách sạn gần biển Miami Tuy Hoà Phú Yên,"Lê Duẩn, Liên Trì (3), Việt Nam","Khách sạn gần biển Miami Tuy Hoà Phú Yên tọa lạc ở Liên Trì (3) và có xe đạp miễn phí. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Phòng khách được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Phòng nào cũng có phòng tắm riêng với máy sấy tóc, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Tại khách sạn, tất cả các phòng đều có ga trải giường và khăn tắm.

Sân bay Tuy Hòa cách 6 km.",9.1,
https://www.booking.com/hotel/vn/que-toi-village-phu-yen12.vi.html,Que Toi Village Resort Phu Yen,"Khu phố Long Hải Đông, Xuan Yen, Song Cau, Song Cau, Việt Nam","Nằm giáp biển, Que Toi Village Resort Phu Yen cung cấp chỗ nghỉ 4 sao ở Song Cau, đồng thời có xe đạp miễn phí, hồ bơi ngoài trời và khu vườn. Ngoài dịch vụ phòng, chỗ nghỉ này còn có nhà hàng để phục vụ du khách. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tất cả các phòng đi kèm điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Tại resort, các phòng đều đi kèm với phòng tắm riêng với máy sấy tóc và dép đi trong phòng.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, Que Toi Village Resort Phu Yen có dịch vụ thuê ô tô.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên luôn túc trực để hỗ trợ khách tại lễ tân 24/24.

Sân bay Tuy Hòa cách 57 km.",9.2,4.0
https://www.booking.com/hotel/vn/sala-grand-tuyhoa.vi.html,Sala Grand TuyHoa Hotel,"09 Độc Lập, Phường 07, TP. Tuy Hòa, Tỉnh Phú Yên, Tuy Hoà, Việt Nam","Tọa lạc ở Tuy Hoà, cách Bãi biển Tuy Hòa chỉ vài bước chân, Sala Grand TuyHoa Hotel cung cấp chỗ nghỉ có xe đạp miễn phí, chỗ đậu xe riêng miễn phí, hồ bơi ngoài trời và trung tâm thể dục. Chỗ nghỉ này có các tiện nghi như nhà hàng, câu lạc bộ trẻ em và dịch vụ đưa đón miễn phí, cùng với Wi-Fi miễn phí. Sân hiên, ngay trong khuôn viên quầy bar và phòng chờ chung có sẵn tại chỗ nghỉ.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng với vòi sen và máy sấy tóc, một số căn tại khách sạn cũng có view thành phố. Phòng khách có tủ quần áo.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn sẵn lòng hỗ trợ khách vào bất kỳ thời điểm nào trong ngày.

Sân bay Tuy Hòa cách 6 km.",9.2,5.0
