url,name,location,description,point,star
https://www.booking.com/hotel/vn/the-sun-tay-ninh.vi.html,The Sun Hotel,"12 hẻm 6 nguyễn văn rốp Tây Ninh  province, Tây Ninh, Việt Nam","The Sun Hotel tọa lạc ở Tây Ninh và có khu vườn. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Tại khách sạn, mỗi phòng đều có tủ quần áo, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách The Sun Hotel 86 km.",7.7,
https://www.booking.com/hotel/vn/arina.vi.html,Arina Luxury Hotel - Vincom Tay Ninh,"PG2-20 Khu Vincom Shophouse, Khu phố 5, Phường 3, Tây Ninh, Việt Nam","Arina Luxury Hotel - Vincom Tay Ninh nằm ở Tây Ninh và có sân hiên. Ngoài phòng chờ chung, khách sạn 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách.

Tất cả các phòng đi kèm tủ lạnh, minibar, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng đều có tủ quần áo và TV màn hình phẳng, ngoài ra một số phòng tại khách sạn có ban công. Tại Arina Luxury Hotel - Vincom Tay Ninh, mỗi phòng đều có khu vực ghế ngồi.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách chỗ nghỉ 89 km, đồng thời chỗ nghỉ này cũng cung cấp dịch vụ đưa đón sân bay mất phí.",8.4,3.0
https://www.booking.com/hotel/vn/mai-vy-tay-ninh-tay-ninh1.vi.html,Mai Vy Hotel Tay Ninh,"Đường 30/4, khu phố 4, phường 3, Tây Ninh, Việt Nam","Mai Vy Hotel Tay Ninh cung cấp chỗ nghỉ tại Tây Ninh. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và quầy lễ tân 24 giờ.

Các căn đi kèm điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng, vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Tại Mai Vy Hotel Tay Ninh, tất cả các phòng có ga trải giường và khăn tắm.

Sân bay Quốc tế Tân Sơn Nhất cách 86 km.",8.2,3.0
https://www.booking.com/hotel/vn/thong-d-ong-in-tay-ninh.vi.html,T h o n g D o n g Homestay,"Ấp Phước Long 2, Xã Phan, Dương Minh Châu, Tây Ninh, Tây Ninh, Việt Nam","Nằm cách Địa đạo Củ Chi 50 km, T h o n g D o n g Homestay cung cấp chỗ nghỉ có khu vườn, sân hiên và quầy lễ tân 24 giờ. Khu cắm trại có WiFi và chỗ đậu xe riêng miễn phí.

Chỗ nghỉ có điều hòa, bếp đầy đủ tiện nghi, TV màn hình phẳng, cũng như phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tủ lạnh, cũng như máy pha cà phê và ấm đun nước đều được cung cấp.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách T h o n g D o n g Homestay 87 km.",9.5,
https://www.booking.com/hotel/vn/vinpearl-tay-ninh.vi.html,Melia Vinpearl Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province, Tây Ninh, Việt Nam","Tọa lạc ở Tây Ninh, Melia Vinpearl Tay Ninh cung cấp chỗ nghỉ 5 sao có quầy bar. Ngoài nhà hàng, chỗ nghỉ còn có xe đạp miễn phí, trung tâm thể dục và phòng xông hơi khô. Khách sạn có bể sục, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các phòng được trang bị điều hòa, tủ lạnh, minibar, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Mỗi phòng đều có TV màn hình phẳng, ngoài ra một số căn tại khách sạn có view thành phố. Tất cả các căn tại Melia Vinpearl Tay Ninh đi kèm khu vực ghế ngồi.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet, kiểu lục địa hoặc kiểu Á hằng ngày.

Chỗ nghỉ có chỗ đậu xe riêng miễn phí, dịch vụ văn phòng và lễ tân 24/24.

Sân bay Quốc tế Tân Sơn Nhất cách 89 km.",9,5.0
https://www.booking.com/hotel/vn/goldcityhotel.vi.html,GOLD CITY Hotel,"PG02-03 ( khu TTTM Vincom), Số 444-Đường 30/04, KP1, P3, TP Tây Ninh, Tây Ninh, Việt Nam, Tây Ninh, Việt Nam","GOLD CITY Hotel cung cấp chỗ nghỉ tại Tây Ninh. Khách sạn 2 sao này có dịch vụ phòng và máy ATM. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, phòng chờ chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các căn đi kèm điều hòa, TV có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng được thiết kế có phòng tắm riêng với máy sấy tóc, trong đó một số phòng có ban công và một số phòng khác cũng nhìn ra thành phố. Tại khách sạn, tất cả các phòng có ga trải giường và khăn tắm.

GOLD CITY Hotel có sân hiên phơi nắng.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách chỗ nghỉ 89 km.",8.9,2.0
https://www.booking.com/hotel/vn/new-city-khu-pho-1-phuong-3-thanh-pho-tay-ninh-tinh-tay-ninh.vi.html,NEW CITY HOTEL,"PG1-18,19 (Khu Shophouse Vincom Tây Ninh) số 444 đường 30/4, Khu phố 1, Phường 3, TP. Tây Ninh, tỉnh Tây Ninh, Việt Nam, Tây Ninh, Việt Nam","NEW CITY HOTEL có phòng chờ chung, sân hiên và quầy bar ở Tây Ninh. Ngoài xe đạp miễn phí, khách sạn 2 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ này cung cấp bếp chung và dịch vụ phòng cho khách.

Tất cả các phòng đi kèm tủ lạnh, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các phòng đều đi kèm với tủ quần áo và TV màn hình phẳng, ngoài ra một số phòng tại khách sạn có ban công. Tại NEW CITY HOTEL, các phòng đều có ga trải giường và khăn tắm.

Đội ngũ nhân viên của chỗ nghỉ luôn túc trực tại lễ tân 24/24 để cung cấp đề xuất cho du khách.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách NEW CITY HOTEL 89 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.1,2.0
https://www.booking.com/hotel/vn/tay-ninh-city.vi.html,TÂY NINH CITY HOTEL,"PG1-28 (Tại Khu TTTM Vincom), 444 Đường 30/4, Khu phố 1, Tây Ninh, Việt Nam","TÂY NINH CITY HOTEL cung cấp chỗ nghỉ tại Tây Ninh. Ngoài phòng chờ chung, khách sạn 2 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Các căn đi kèm tủ lạnh, minibar, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và tủ quần áo. Các phòng được thiết kế có TV màn hình phẳng, ngoài ra một số phòng tại khách sạn có view thành phố.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách TÂY NINH CITY HOTEL 89 km.",8.8,2.0
https://www.booking.com/hotel/vn/an-gia-tay-ninh.vi.html,An Gia Hotel Tây Ninh,"An gia hotel Tây ninh Chung cư bình phong A36 đường 781, KDC Bình Phong, ấp Bình, xã Thái Bình, huyện Châu Thành,tp Tây Ninh, Tây Ninh, Việt Nam","An Gia Hotel Tây Ninh tọa lạc ở Tây Ninh, nhìn ra thành phố và có Wi-Fi miễn phí cùng chỗ đậu xe riêng miễn phí.

Tất cả các căn có phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, điều hòa, TV màn hình phẳng và tủ lạnh.

Khách có thể sử dụng sân hiên tại khách sạn căn hộ.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách An Gia Hotel Tây Ninh 90 km.",9.3,3.0
https://www.booking.com/hotel/vn/khach-san-lavender-vincom-tay-ninh.vi.html,Khách sạn LAVENDER - Vincom Tây Ninh,"Trương Tùng Quân, Tây Ninh, Việt Nam","Khách sạn LAVENDER - Vincom Tây Ninh cung cấp chỗ nghỉ tại Tây Ninh. Khách sạn cung cấp sân hiên, lễ tân 24/24, cùng Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Tại Khách sạn LAVENDER - Vincom Tây Ninh, các phòng đều đi kèm với ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách chỗ nghỉ 89 km.",9.1,
