url,name,location,description,point,star
https://www.booking.com/hotel/vn/quynh-vy-thai-nguyen.vi.html,Quỳnh Vy Hotel,"289a Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên, Việt Nam","Nằm ở Thái Nguyên, cách Phủ Thành Chương 47 km, Quỳnh Vy Hotel cung cấp chỗ nghỉ có Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí. Khách sạn có phòng gia đình.

Tất cả các phòng ở khách sạn được trang bị ấm đun nước. Các phòng đều có phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tại Quỳnh Vy Hotel, mỗi phòng đều có ga trải giường và khăn tắm.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn sẵn lòng đưa ra đề xuất hữu ích về khu vực xung quanh.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 51 km.",9.5,
https://www.booking.com/hotel/vn/the-king-thai-nguyen.vi.html,The King Hotel - Condotel Thai Nguyen,"số nhà 99, đường Bắc Sơn, phường Hoàng Văn Thụ, thành phố Thái Nguyên, tỉnh Thái Nguyên, Thái Nguyên, Việt Nam","The King Hotel - Condotel Thai Nguyen có khu vườn, phòng chờ chung, sân hiên và quầy bar ở Thái Nguyên. Ngoài nhà hàng, chỗ nghỉ còn có xe đạp miễn phí, hồ bơi trong nhà và trung tâm thể dục. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Tại khách sạn, các phòng đều có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình cáp, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tại The King Hotel - Condotel Thai Nguyen, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Khách tại chỗ nghỉ có thể thưởng thức bữa sáng kiểu Mỹ hoặc kiểu Á.

The King Hotel - Condotel Thai Nguyen có sân chơi trẻ em. Khách tại khách sạn sẽ có thể tận hưởng các hoạt động ở trong Thái Nguyên và khu vực xung quanh, như leo núi và đi xe đạp.

The King Hotel - Condotel Thai Nguyen có các tiện nghi như dịch vụ văn phòng, phòng xông hơi khô và bể sục trong khuôn viên.

Chỗ nghỉ cách Phủ Thành Chương 48 km. Sân bay Quốc tế Nội Bài cách 53 km.",8.9,
https://www.booking.com/hotel/vn/x-thai-nguyen.vi.html,X Hotel Thái Nguyên,"Số nhà 38, tổ 1, Phường Đồng Quang, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam, Thái Nguyên, Việt Nam","Nằm ở Thái Nguyên, cách Phủ Thành Chương 47 km, X Hotel Thái Nguyên cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và sân hiên. Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Khách có thể sử dụng quầy bar.

Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng, ban công, phòng tắm riêng và vòi xịt/chậu rửa vệ sinh. X Hotel Thái Nguyên cung cấp một số phòng nhìn ra hồ bơi và các phòng đều đi kèm với sân trong. Tại chỗ nghỉ, các phòng được thiết kế có ga trải giường và khăn tắm.

X Hotel Thái Nguyên có phục vụ bữa sáng thực đơn buffet hoặc kiểu Á.

Sân bay Quốc tế Nội Bài cách 52 km.",9.7,3.0
https://www.booking.com/hotel/vn/may-plaza.vi.html,MAY PLAZA HOTEL,"668 Phan Đinh Phùng, phường Đồng Quang, TP Thái Nguyên, Thái Nguyên, Việt Nam","Tọa lạc ở Thái Nguyên, cách Phủ Thành Chương 45 km, MAY PLAZA HOTEL cung cấp chỗ nghỉ có phòng chờ chung, chỗ đậu xe riêng miễn phí, nhà hàng và quầy bar. Khách sạn 5 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Du khách có thể thưởng thức đồ uống tại bar thức ăn nhẹ.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các căn có tủ quần áo.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, kiểu lục địa hoặc kiểu Á cho bữa sáng.

Sân bay Quốc tế Nội Bài cách 50 km.",8.9,5.0
https://www.booking.com/hotel/vn/kim-thai.vi.html,Kim Thai Hotel,"03 Hoang Van Thu St, Thái Nguyên, Việt Nam","Nằm ở Thái Nguyên, Kim Thai Hotel cung cấp chỗ nghỉ 3 sao có sân hiên và nhà hàng. Được xây dựng vào năm 2015, chỗ nghỉ nằm cách Phủ Thành Chương 46 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Các căn đi kèm điều hòa, TV màn hình phẳng có truyền hình vệ tinh, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng với vòi sen và dép đi trong phòng, một số phòng tại khách sạn cũng có view thành phố. Tất cả các phòng có tủ quần áo.

Sân bay Quốc tế Nội Bài cách 51 km.",8.2,3.0
https://www.booking.com/hotel/vn/khach-san-toms.vi.html,Khách Sạn Tom’s,"Tổ 7, phường Đồng Quang, Thái Nguyên, Việt Nam","Nằm ở Thái Nguyên, cách Phủ Thành Chương 46 km, Khách Sạn Tom’s nhìn rathành phố. Khách sạn 3 sao này có phòng giữ hành lý. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, mỗi phòng đều có bàn làm việc. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các căn tại Khách Sạn Tom’s có TV màn hình phẳng và điều hòa, trong đó một số phòng có sân hiên. Tại chỗ nghỉ, các phòng được thiết kế có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Khách Sạn Tom’s 51 km.",7.1,3.0
https://www.booking.com/hotel/vn/khach-san-da-huong-2-thi-xa-long-khanh.vi.html,Da Huong Hotel,"1, Le Quy Don Street, Thai Nguyen, Thái Nguyên, Việt Nam","Da Huong Hotel có khu vườn, sân hiên, nhà hàng và quầy bar ở Thái Nguyên. Khách sạn 3 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Đây là chỗ nghỉ không gây dị ứng và tọa lạc cách Phủ Thành Chương 48 km.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các căn có phòng tắm riêng, máy sấy tóc và ga trải giường.

Khách sạn có BBQ.

Khách có thể tùy ý sử dụng dịch vụ văn phòng tại Da Huong Hotel.

Sân bay Quốc tế Nội Bài cách 53 km.",7.2,3.0
https://www.booking.com/hotel/vn/queen-ii.vi.html,Queen Hotel Hoàng Gia,"Tổ 6 phường Tân Thịnh, Thái Nguyên, Việt Nam","Tọa lạc ở Thái Nguyên, cách Phủ Thành Chương 45 km, Queen Hotel Hoàng Gia cung cấp chỗ nghỉ có quầy bar và chỗ đậu xe riêng miễn phí. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, tất cả các căn tại khách sạn có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Các phòng đều có tủ lạnh.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Queen Hotel Hoàng Gia 51 km.",8.7,
https://www.booking.com/hotel/vn/tung-duong-thanh-pho-thai-nguyen.vi.html,Tung Duong Hotel,"Đường Bắc Sơn, Thái Nguyên, Việt Nam","Tọa lạc ở Thái Nguyên, Thai Nguyen, Tung Duong Hotel nằm cách Phủ Thành Chương 48 km. Khách sạn 3 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng được trang bị vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Tại Tung Duong Hotel, mỗi phòng đều có ga trải giường và khăn tắm.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 53 km.",7.6,3.0
https://www.booking.com/hotel/vn/luxury-2bed-apart-tecco-thinh-dan-thai-nguyen-samsung-20min.vi.html,Luxury 2bed apart- Tecco thịnh đán thai nguyên - Samsung 20min,"Đường Thịnh Đán, Thái Nguyên, Việt Nam","Tọa lạc chỉ cách Phủ Thành Chương 45 km, Luxury 2bed apart- Tecco thịnh đán thai nguyên - Samsung 20min cung cấp chỗ nghỉ ở Thái Nguyên với khu vườn, nhà hàng, cũng như máy ATM. Căn hộ này cung cấp chỗ nghỉ điều hòa có Wi-Fi miễn phí.

Căn hộ có 2 phòng ngủ, 2 phòng tắm, ga trải giường, khăn tắm, TV màn hình phẳng, khu vực ăn uống, bếp đầy đủ tiện nghi, cùng ban công nhìn ra thành phố.

Khách có thể sử dụng sân chơi trẻ em tại căn hộ.

Sân bay Quốc tế Nội Bài cách 50 km.",,3.0
