url,name,location,description,point,star
https://www.booking.com/hotel/vn/thanh-trung-thanh-pho-tuyen-quang.vi.html,Thành Trung Hotel,"5 Hong Thai, Phan Thiet ward, Tuyên Quang, Việt Nam","Thành Trung Hotel cung cấp chỗ nghỉ tại Tuyên Quang. Khách sạn cung cấp sân hiên, lễ tân 24/24, cùng Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, các phòng đều có bàn làm việc và TV màn hình phẳng. Tại Thành Trung Hotel, các phòng được thiết kế có điều hòa và phòng tắm riêng.

Sân bay Quốc tế Nội Bài cách 106 km.",7.3,
https://www.booking.com/hotel/vn/an-homestay-tuyen-quang-tuyen-quang.vi.html,An Homestay Tuyên Quang,"Số nhà 27 - Đường Bình Thuận - Tp Tuyên Quang, Tuyên Quang, Việt Nam","Tọa lạc ở Tuyên Quang, An Homestay Tuyên Quang cung cấp chỗ nghỉ có ban công. Chỗ đậu xe riêng có thể được sắp xếp với một khoản phụ phí.

Sân bay Quốc tế Nội Bài cách 105 km.",7.4,
https://www.booking.com/hotel/vn/po-royal-palace-hotel-tuy-n-quang.vi.html,Royal Palace Hotel,"176A, Binh Thuan Street, Tuyen Quang City, Tuyen Quang Province, Viet Nam, 300000 Tuyên Quang, Việt Nam","Nằm ở Tuyên Quang, Royal Palace Hotel cung cấp chỗ nghỉ 4 sao có phòng chờ chung, nhà hàng và quầy bar. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ tiền sảnh và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Sân bay Quốc tế Nội Bài cách 119 km.","8,2",4.0
https://www.booking.com/hotel/vn/muong-thanh-grand-tuyen-quang.vi.html,Muong Thanh Grand Tuyen Quang Hotel,"207 Bình Thuận, Tuyên Quang, Việt Nam","Muong Thanh Grand Tuyen Quang Hotel có hồ bơi ngoài trời theo mùa, trung tâm thể dục, nhà hàng và quầy bar ở Tuyên Quang. Khách sạn 4 sao này cung cấp dịch vụ phòng, phòng giữ hành lý và Wi-Fi miễn phí. Du khách có thể thưởng thức đồ uống tại bar thức ăn nhẹ.

Các phòng tại khách sạn được trang bị điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tại Muong Thanh Grand Tuyen Quang Hotel, mỗi phòng đều có ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, kiểu lục địa hoặc kiểu Mỹ cho bữa sáng.

Khách có thể chơi bóng bàn tại chỗ nghỉ. Ngoài ra, chỗ nghỉ có dịch vụ thuê ô tô.

Chỗ nghỉ có chỗ đậu xe riêng miễn phí, dịch vụ văn phòng và lễ tân 24/24.

Sân bay Quốc tế Nội Bài cách 105 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.5,4.0
https://www.booking.com/hotel/vn/na-tue-an-homestay-81-vo-van-kiet.vi.html,Na Tuệ An-Homestay 81 Võ Văn Kiệt,"81 Võ Văn Kiệt, Thành Phố Tuyên Quang, Tuyên Quang, Việt Nam","Nằm ở Tuyên Quang, Na Tuệ An-Homestay 81 Võ Văn Kiệt cung cấp chỗ nghỉ có điều hòa với sân hiên và Wi-Fi miễn phí. Trang trại nghỉ dưỡng có khu vườn và chỗ đậu xe riêng miễn phí.

Khăn tắm và ga trải giường có sẵn ở trang trại nghỉ dưỡng.

Khách có thể thưởng thức bữa sáng thực đơn buffet, thực đơn à la carte hoặc món chay tại chỗ nghỉ.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách trang trại nghỉ dưỡng 115 km.",9.8,
https://www.booking.com/hotel/vn/anh-anh-luxury.vi.html,Anh Anh Luxury Hotel,"15 Nguyễn Văn Linh, Tuyên Quang, Việt Nam","Anh Anh Luxury Hotel tọa lạc ở Tuyên Quang. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi sen, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Tại khách sạn, mỗi phòng đều có phòng tắm riêng với máy sấy tóc và dép đi trong phòng.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Anh Anh Luxury Hotel 106 km.",8.7,
https://www.booking.com/hotel/vn/na-tue-an-homestay-so-3-hoang-van-thai.vi.html,Na Tuệ An-Homestay Số 3 Hoàng Văn Thái,"3 Phố Hoàng Văn Thái, Tuyên Quang, Việt Nam","Tọa lạc ở Tuyên Quang, Na Tuệ An-Homestay Số 3 Hoàng Văn Thái cung cấp chỗ nghỉ nhìn ra thành phố, có Wi-Fi miễn phí và khu vườn với sân hiên.

Một số căn còn có bếp được trang bị tủ lạnh và bếp.

Du khách có thể leo núi và đi xe đạp gần đó.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách nhà nghỉ B&B 115 km.",,
https://www.booking.com/hotel/vn/hai-phong-tuyen-quang.vi.html,Hải Phòng HOTEL,"kim xuyên,Hồng lạc,Sơn dương,tuyên Quang, Tuyên Quang, Việt Nam","Hải Phòng HOTEL cung cấp chỗ nghỉ tại Tuyên Quang. Guest house cung cấp cả Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại guest house, các phòng đều đi kèm với tủ quần áo, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Tất cả các phòng đều có tủ lạnh.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Hải Phòng HOTEL 95 km.",,
https://www.booking.com/hotel/vn/nam-phong-ham-yen.vi.html,FarmStay Ô A Pháo - km37 Hàm Yên,"km37 tân yên, hàm yên, tuyên quang, Tuyên Quang, Việt Nam","FarmStay Ô A Pháo - km37 Hàm Yên có xe đạp miễn phí, khu vườn, phòng chờ chung và sân hiên ở Tuyên Quang. Ngoài dịch vụ phòng, chỗ nghỉ này còn có nhà hàng để phục vụ du khách. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí.

Tại khách sạn, phòng nào cũng có điều hòa, bàn làm việc, sân trong với view vườn, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Phòng khách đều có tủ quần áo và ấm đun nước để khách sử dụng.

Khách tại FarmStay Ô A Pháo - km37 Hàm Yên sẽ có thể tận hưởng các hoạt động ở trong Tuyên Quang và khu vực xung quanh, như đi xe đạp.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách chỗ nghỉ 141 km.",8.3,2.0
https://www.booking.com/hotel/vn/ngoi-xanh-ecolodge-bungalow-restaurant-coffee.vi.html,Ngòi Xanh Ecolodge (Bungalow - Restaurant - Coffee),"Tỉnh Tuyên Quang, Tuyên Quang, Việt Nam","Ngòi Xanh Ecolodge (Bungalow - Restaurant - Coffee) có hồ bơi ngoài trời theo mùa, khu vườn, nhà hàng và quầy bar ở Tuyên Quang. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Mỗi phòng đều được thiết kế có ban công.

Tại khách sạn, các phòng đều có sân hiên với view núi. Tại Ngòi Xanh Ecolodge (Bungalow - Restaurant - Coffee), tất cả các phòng có ga trải giường và khăn tắm.

Khách tại chỗ nghỉ có thể thưởng thức bữa sáng thực đơn à la carte.

Sân bay Quốc tế Nội Bài cách 123 km.",,
