url,name,location,description,point,star
https://www.booking.com/hotel/vn/khach-san-phuong-thuy-au-co.vi.html,Khách Sạn Phương Thúy Âu Cơ,"thôn thanh hùng, xã tân thịnh, Yên Bái, Việt Nam","Khách Sạn Phương Thúy Âu Cơ nằm ở Yên Bái và có khu vườn. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Một số phòng tại chỗ nghỉ có sân hiên với view núi.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách khách sạn 126 km.",8.3,
https://www.booking.com/hotel/vn/muong-lo-retreat.vi.html,Mường Lò Retreat Nghia Lo,"Thôn 4 Xã Nghĩa Lộ, Yên Bái, Việt Nam","Nhìn ra thành phố, Mường Lò Retreat Nghia Lo tọa lạc ở Yên Bái và có nhà hàng, dịch vụ phòng, quầy bar, khu vườn, hồ bơi ngoài trời mở quanh năm cũng như sân hiên. WiFi miễn phí có sẵn.

Tất cả các căn đều được thiết kế có ban công nhìn ra núi.

Lodge có phục vụ bữa sáng thực đơn à la carte hằng ngày.

Du khách có thể đi xe đạp để khám phá khu vực xung quanh.

Sân bay Quốc tế Nội Bài cách 170 km.",9.5,4.0
https://www.booking.com/hotel/vn/nam-thia-homestay-yen-bai1.vi.html,Nậm Thia Homestay,"Bản Chao Hạ 2, xã Nghĩa Lợi, thị xã Nghĩa Lộ, tỉnh Yên Bái, Yên Bái, Việt Nam","Nậm Thia Homestay cung cấp chỗ nghỉ điều hòa ở Yên Bái. Chỗ nghỉ này có các tiện nghi như quầy lễ tân 24 giờ và dịch vụ tiền sảnh, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Ở đây có nhà hàng phục vụ món ăn Việt và chỗ đậu xe riêng miễn phí.

Tại khách sạn, tất cả các phòng có tủ quần áo. Tất cả các căn có phòng tắm chung, máy sấy tóc và ga trải giường.

Khách tại Nậm Thia Homestay có thể thưởng thức bữa sáng thực đơn à la carte.

Sân bay Quốc tế Nội Bài cách 171 km.",9.3,
https://www.booking.com/hotel/vn/homestay-nha-cua-mi-nghia-lo-yen-bai.vi.html,Homestay Nhà của Mị - Mị's House,"Suối Đao, Phù Nham, Nghĩa lộ, Yên bái, Yên Bái, Việt Nam","Nằm ở Yên Bái, Homestay Nhà của Mị - Mị's House cung cấp Wi-Fi miễn phí, nơi khách có thể trải nghiệm khu vườn, sân hiên và nhà hàng.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Lodge có phục vụ bữa sáng thực đơn à la carte và kiểu Á mỗi buổi sáng.

Khách có thể sử dụng sân chơi trẻ em tại Homestay Nhà của Mị - Mị's House.

Sân bay Quốc tế Nội Bài cách 177 km.",9.4,
https://www.booking.com/hotel/vn/homestay-tuan-bay-yen-bai5.vi.html,Homestay tuấn bảy,"Bản sà rèn nghĩa lợi nghĩa lộ tỉnh Yên Bái, Yên Bái, Việt Nam","Homestay tuấn bảy tọa lạc ở Yên Bái. Khách có thể sử dụng WiFi miễn phí và chỗ đậu xe riêng có sẵn trong khuôn viên.

Chỗ nghỉ này được trang bị bếp.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách căn hộ 178 km.",9,
https://www.booking.com/hotel/vn/lau-camping-phinh-ho.vi.html,Lau Camping Phình Hồ,"Lau Camping Phình Hồ, Xã Phình Hồ, Huyện Trạm Tấu, Yên Bái, Việt Nam","Lau Camping Phình Hồ tọa lạc ở Yên Bái và có quầy bar. Chỗ nghỉ này có các tiện nghi như quầy lễ tân 24 giờ và dịch vụ tiền sảnh, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Ở đây có nhà hàng phục vụ món ăn Việt và chỗ đậu xe riêng miễn phí.

Khách tại khách sạn có thể thưởng thức bữa sáng thực đơn buffet.

Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 169 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.3,
https://www.booking.com/hotel/vn/gem-market-guest-house.vi.html,Gem Market Guest House,"932 Đường Đinh Tiên Hoàng, Yên Bái, Việt Nam","Tọa lạc ở Yên Bái, Gem Market Guest House có khu vườn, sân hiên, quầy bar, cùng Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Tại guest house, mỗi phòng đều có tủ quần áo. Tất cả các phòng đều có điều hòa, ngoài ra một số căn tại Gem Market Guest House có ban công. Tất cả các căn tại chỗ nghỉ được trang bị khu vực ghế ngồi.

Khách có thể thưởng thức bữa sáng thực đơn à la carte, kiểu Á hoặc món chay tại chỗ nghỉ.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Gem Market Guest House 129 km.",,
https://www.booking.com/hotel/vn/homestay-chinh-bi-yen-bai6.vi.html,Homestay Chinh Bi,"Bản Đoàn Kết xã Sơn A - Thị xã Nghĩa Lộ - Tỉnh Yên Bái 2, Yên Bái, Việt Nam","Tọa lạc ở Yên Bái, Homestay Chinh Bi cung cấp Wi-Fi miễn phí, nơi khách có thể trải nghiệm khu vườn, sân hiên và quầy bar.

Nơi đây còn có phòng tắm chung với vòi xịt/chậu rửa vệ sinh ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách nhà nghỉ B&B 180 km.",9.2,
https://www.booking.com/hotel/vn/khach-san-phuong-thuy-thanh-pho-yen-bai1.vi.html,Khách sạn Phương Thuý 1,"95 Ngô Minh Loan, Yên Bái, Việt Nam","Khách sạn Phương Thuý 1 ở Yên Bái cung cấp chỗ nghỉ 3 sao có khu vườn, sân hiên và nhà hàng. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Khách sạn có phòng gia đình.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách khách sạn 124 km.",4.8,3.0
https://www.booking.com/hotel/vn/muong-lo-farmstay.vi.html,Muonglo Farmstay,"Bản Lụ 1, Xã Phúc Sơn, TX Nghĩa Lộ, Yên Bái, Việt Nam","Tọa lạc ở Yên Bái, Muonglo Farmstay có khu vườn, phòng chờ chung, quầy bar, cùng Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Ngoài bếp chung, chỗ nghỉ này còn có nhà hàng, công viên nước và sân hiên để phục vụ du khách. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Khách sạn có phục vụ bữa sáng thực đơn à la carte hoặc món thuần chay.

Thành thạo cả tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn sẵn lòng hỗ trợ khách lên kế hoạch cho kỳ nghỉ.

Sân bay Quốc tế Nội Bài cách 182 km.",8.8,
https://www.booking.com/hotel/vn/huong-viet-yen-bai.vi.html,HƯƠNG VIỆT hotel,"Văn Hưng ,cát thịnh , văn chấn, Yên Bái, Việt Nam","HƯƠNG VIỆT hotel tọa lạc ở Yên Bái và có nhà hàng. Ngoài khu vườn, khách sạn 2 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Các phòng ở khách sạn được trang bị ấm đun nước. Mỗi phòng đều có tủ quần áo và TV màn hình phẳng, ngoài ra một số căn tại HƯƠNG VIỆT hotel có sân hiên. Tại chỗ nghỉ, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

HƯƠNG VIỆT hotel có phục vụ bữa sáng thực đơn buffet mỗi sáng.

Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách khách sạn 145 km.",,2.0
