url,name,location,description,point,star
https://www.booking.com/hotel/vn/thanh-binh-2-thanh-pho-ha-tinh.vi.html,Hotel Thanh Bình 2,"Trần Phú số nhà 54, đường Trần Phú, Phường Bắc Hà, Hà Tĩnh, Việt Nam","Hotel Thanh Bình 2 cung cấp chỗ nghỉ ở Hà Tĩnh. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, các phòng đều có bàn làm việc. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, các căn tại Hotel Thanh Bình 2 có TV màn hình phẳng và điều hòa, trong đó một số phòng có ban công. Tại chỗ nghỉ, các phòng được thiết kế có ga trải giường và khăn tắm.

Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Sân bay gần nhất là Sân bay quốc tế Vinh, cách Hotel Thanh Bình 2 54 km.",8.2,
https://www.booking.com/hotel/vn/white.vi.html,White Hotel,"139 Ha Huy Tap, Hà Tĩnh, Việt Nam","Chỉ cách Bến Xe Hà Tĩnh 1 km, White Hotel chào đón du khách với các phòng nghỉ được trang trí tao nhã và truy cập Wi-Fi miễn phí. Du khách cũng có thể ăn uống tại nhà hàng trong nhà.

Đặc trưng bởi kiểu trang trí bằng gam màu trắng ngà thanh lịch, các phòng máy lạnh tại White Hotel được trang bị truyền hình cáp màn hình phẳng, két an toàn và khu vực tiếp khách. Phòng đi kèm tiện nghi phòng tắm riêng với bồn tắm.

Khách nghỉ tại White Hotel có thể sử dụng dịch vụ giặt/ủi kèm phụ phí. Các tiện nghi khác bao gồm chỗ giữ hành lý và chỗ đậu xe riêng miễn phí dành cho những khách lái xe.

Khách sạn hiện đại này cách bãi biển công cộng Thạch Hải 10 km và cách bãi biển công cộng Thiên Cầm 20 km. Chùa Hương Tích nổi tiếng cách nơi đây 30 km.

Quý khách có thể thưởng thức các món ăn địa phương Việt Nam và ẩm thực quốc tế tại nhà hàng trong nhà.",7.5,3.0
https://www.booking.com/hotel/vn/binh-minh-ha-tinh.vi.html,Bình Minh Hotel,"09 Trần Phú, Trần Phú, Hà Tĩnh, Ha Tinh, Vietnam, Hà Tĩnh, Việt Nam","Bình Minh Hotel nằm ở Hà Tĩnh và có quầy bar. Ngoài nhà hàng, khách sạn 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tại khách sạn, tất cả các phòng có ban công với view thành phố. Các căn đều có tủ lạnh.

Khách có thể thưởng thức bữa sáng thực đơn à la carte, kiểu lục địa hoặc kiểu Á tại chỗ nghỉ.

Sân bay quốc tế Vinh cách 54 km.",7.3,3.0
https://www.booking.com/hotel/vn/melia-vinpearl-cua-sot-beach-resort.vi.html,Meliá Vinpearl Cua Sot Beach Resort,"Thinh Loc, Loc Ha, Ha Tinh Province, Hà Tĩnh, Việt Nam","Tọa lạc tại tỉnh Hà Tĩnh, Meliá Vinpearl Cua Sot Beach Resort có tầm nhìn ra bãi biển Xuân Hải. Du khách có thể dùng bữa tại nhà hàng trong khuôn viên hoặc ngâm mình dưới hồ bơi ngoài trời. Chỗ nghỉ này cung cấp WiFi miễn phí.

Tất cả các căn tại biệt thự đều có máy điều hòa, cửa sổ lớn và ban công riêng nhìn ra biển. Phòng tắm riêng đi kèm tiện nghi vòi sen và đồ vệ sinh cá nhân miễn phí.

Nằm trên khu đất rộng 160 m², nhà hàng Sand Dream Restaurant phục vụ một loạt món ăn hải sản, Việt Nam, Châu Á và Châu Âu.

Sân bay gần nhất là sân bay Vinh, cách chỗ nghỉ 35 km.",8.7,5.0
https://www.booking.com/hotel/vn/seabird-thien-cam.vi.html,Seabird Hotel Thien Cam,"Thien Cam Beach Cam Xuyen District, Hà Tĩnh, Việt Nam","Nằm giáp biển, Seabird Hotel Thien Cam cung cấp chỗ nghỉ 4 sao ở Hà Tĩnh, đồng thời có hồ bơi ngoài trời, khu vườn và sân hiên. Chỗ nghỉ này có các tiện nghi như nhà hàng, câu lạc bộ trẻ em và dịch vụ phòng, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Chỗ nghỉ này cung cấp quầy lễ tân 24 giờ, dịch vụ tiền sảnh và dịch vụ thu đổi ngoại tệ cho khách.

Tất cả các căn tại khách sạn được trang bị điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình cáp, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tại Seabird Hotel Thien Cam, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm.

Sân bay quốc tế Vinh cách 81 km.",8,4.0
https://www.booking.com/hotel/vn/khach-san-thanh-binh.vi.html,Thanh Binh Hotel,"179 Ha Huy Tap, Hà Tĩnh, Việt Nam","Thanh Binh Hotel tọa lạc ở Hà Tĩnh. Mỗi phòng tại khách sạn 2 sao này đều nhìn ra thành phố, đồng thời khách có thể sử dụng xe đạp miễn phí và sân hiên. Khách sạn còn cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Các phòng được trang bị điều hòa, TV màn hình phẳng có truyền hình cáp, tủ lạnh, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Các căn có phòng tắm riêng, dép đi trong phòng và ga trải giường.

Lễ tân tại khách sạn có thể cung cấp các thông tin hữu ích để giúp du khách tham quan khu vực xung quanh một cách thuận tiện.

Sân bay gần nhất là Sân bay quốc tế Vinh, cách Thanh Binh Hotel 56 km.",8,2.0
https://www.booking.com/hotel/vn/vinpearl-ha-tinh.vi.html,Meliá Vinpearl Ha Tinh,"Ha Huy Tap Crossroad, Hà Tĩnh, Việt Nam","Meliá Vinpearl Ha Tinh cung cấp chỗ nghỉ tại thành phố Hà Tĩnh. Khách sạn 5 sao này có WiFi miễn phí, 2 quầy bar và 2 nhà hàng trong khuôn viên, trung tâm spa cũng như phòng tập thể dục. Quầy lễ tân tại đây hoạt động suốt 24 giờ/ngày.

Tất cả phòng nghỉ tại khách sạn đều được trang bị TV. Phòng tắm riêng đi kèm vòi sen, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Các phòng tại Meliá Vinpearl Hotel Ha Tinh có máy điều hòa và tủ để quần áo.

Chỗ nghỉ phục vụ bữa sáng buffet và bữa sáng kiểu Mỹ hằng ngày.

Sân bay gần nhất là sân bay Vinh, cách chỗ nghỉ 50 km.",8.8,5.0
https://www.booking.com/hotel/vn/songlam-waterfront.vi.html,Songlam Waterfront Hotel,"Khối 2 Thị trấn Xuân An, Nghi Xuân, Hà Tĩnh, Việt Nam","Songlam Waterfront Hotel có hồ bơi ngoài trời, trung tâm thể dục, khu vườn và sân hiên ở Hà Tĩnh. Mỗi phòng tại khách sạn 4 sao này đều nhìn ra thành phố, đồng thời khách có thể sử dụng bể sục. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí.

Khách sạn sẽ cung cấp cho khách các phòng được trang bị điều hòa có bàn làm việc, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Tại Songlam Waterfront Hotel, các phòng đều đi kèm với ga trải giường và khăn tắm.

Tại chỗ nghỉ, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực pizza, hải sản và Bít-tết. Bên cạnh đó, họ có thể yêu cầu món chay, không chứa sữa và đồ ăn Halal.

Sân bay quốc tế Vinh cách 11 km.",8.3,4.0
https://www.booking.com/hotel/vn/thanh-hong-thanh-pho-ha-tinh.vi.html,THÀNH HỒNG HOTEL,"40 Nguyễn Xí, Hà Tĩnh, Việt Nam","THÀNH HỒNG HOTEL cung cấp chỗ nghỉ tại Hà Tĩnh. Ngoài dịch vụ phòng, chỗ nghỉ này còn có sân hiên. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Tại khách sạn, tất cả các phòng đều được thiết kế có bàn làm việc, ban công với view thành phố, phòng tắm riêng, TV, ga trải giường và khăn tắm. Tất cả các phòng có két an toàn và một số phòng nhìn ra khu vườn. Các phòng có tủ quần áo.

Lễ tân tại THÀNH HỒNG HOTEL có thể tư vấn cho khách về khu vực xung quanh.

Sân bay gần nhất là Sân bay quốc tế Vinh, cách chỗ nghỉ 55 km.",7.8,
https://www.booking.com/hotel/vn/muong-thanh-luxury-xuan-thanh.vi.html,Mường Thanh Luxury Xuân Thành,"Thôn Thành vân, xã Xuân Thành, huyện Nghi Xuân, Hà Tĩnh, Hà Tĩnh, Việt Nam","Mường Thanh Luxury Xuân Thành có hồ bơi ngoài trời, trung tâm thể dục, sân hiên và nhà hàng ở Hà Tĩnh. Khách sạn 5 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Khách có thể sử dụng quầy bar.

Sân bay quốc tế Vinh cách 22 km.",8,5.0
