url,name,location,description,point,star
https://www.booking.com/hotel/vn/then-and-now-homestay.vi.html,Hava Homestay,"số 3 ngõ 19 Đường Bà Triệu Phường Đông Kinh No 3/19, Ba Trieu, Dong Kinh, Lang Son, Lạng Sơn, Việt Nam","Hava Homestay có khu vườn, phòng chờ chung, sân hiên và nhà hàng ở Lạng Sơn. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Tại hostel, tất cả các phòng đều có bàn làm việc, ga trải giường và ban công với view thành phố. Với phòng tắm chung được trang bị vòi sen và máy sấy tóc, các phòng tại Hava Homestay cũng có Wi-Fi miễn phí, trong khi một số phòng có sân trong. Tại chỗ nghỉ, mỗi phòng đều có khu vực ghế ngồi.

Hava Homestay có phục vụ bữa sáng thực đơn à la carte hoặc kiểu lục địa.

Sân bay quốc tế Vân Đồn cách 124 km.",9.1,
https://www.booking.com/hotel/vn/four-points-by-sheraton-lang-son.vi.html,Four Points by Sheraton Lang Son,"No.02, Tran Hung Dao street, Lạng Sơn, Việt Nam","Four Points by Sheraton Lang Son tọa lạc ở Lạng Sơn và có quầy bar. Ngoài nhà hàng, khách sạn 5 sao này có các phòng được trang bị điều hòa và Wi-Fi miễn phí, trong đó mỗi phòng sẽ có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và dịch vụ thu đổi ngoại tệ cho khách.

Tại khách sạn, các phòng đều có ban công. Tất cả các phòng đều được thiết kế có TV màn hình phẳng, ngoài ra một số căn tại Four Points by Sheraton Lang Son có view thành phố.

Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet và kiểu Á mỗi sáng.

Sân bay quốc tế Vân Đồn cách 124 km.",8.8,5.0
https://www.booking.com/hotel/vn/khach-san-dong-phuong-thanh-pho-lang-son.vi.html,Khách Sạn Đông Phương,"46 Ngô Gia Tự, Lạng Sơn, Việt Nam","Khách Sạn Đông Phương cung cấp chỗ nghỉ tại Lạng Sơn. Khách sạn 3 sao này có dịch vụ phòng và quầy lễ tân 24 giờ. Tại đây có sân hiên và khách có thể sử dụng Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, tất cả các phòng có điều hòa và TV màn hình phẳng.

Sân bay gần nhất là Sân bay quốc tế Vân Đồn, cách Khách Sạn Đông Phương 123 km.",7.4,3.0
https://www.booking.com/hotel/vn/phu-quy-thanh-pho-lang-son.vi.html,PHÚ QUÝ HOTEL near ĐÔNG KINH MARKET,"200 Phai Vệ 7 Tầng, Lạng Sơn, Việt Nam","Nhìn ra thành phố, PHÚ QUÝ HOTEL near ĐÔNG KINH MARKET ở Lạng Sơn cung cấp chỗ nghỉ có khu vườn, phòng chờ chung, sân hiên, nhà hàng và quầy bar. WiFi miễn phí có sẵn ở toàn bộ chỗ nghỉ.

Tất cả các căn có phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, điều hòa, TV màn hình phẳng và tủ lạnh.

Nhà nghỉ B&B có dịch vụ cho thuê xe đạp, đồng thời du khách có thể đi xe đạp gần đó.

Chỗ nghỉ cách Sân bay quốc tế Vân Đồn 123 km và cung cấp dịch vụ đưa đón sân bay mất phí.",7.9,3.0
https://www.booking.com/hotel/vn/camellia-home-nha-tra.vi.html,Camellia home,"số 5/ngõ 1 phố muối phường tam thanh thành phố lạng sơn, Lạng Sơn, Việt Nam","Tọa lạc ở Lạng Sơn, Camellia home cung cấp chỗ nghỉ có sân hiên hoặc ban công, Wi-Fi miễn phí và TV màn hình phẳng, cũng như xe đạp miễn phí và khu vườn.

Nơi đây còn có phòng tắm chung với vòi sen ở một số căn, cùng đồ vệ sinh cá nhân miễn phí, máy sấy tóc và dép đi trong phòng.

Khách cũng có thể thư giãn trong khu vực phòng chờ chung.

Sân bay gần nhất là Sân bay quốc tế Vân Đồn, cách căn hộ 124 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.5,3.0
https://www.booking.com/hotel/vn/bbq-lang-son-lang-son9.vi.html,BBQ Hotel Lang Son,"Số 48 Apec Diamond, Mai Pha, Phai Đuốc, Thành Phố Lạng Sơn, Tỉnh Lạng Sơn, Lạng Sơn, Việt Nam","Nằm ở Lạng Sơn, BBQ Hotel Lang Son cung cấp chỗ nghỉ 3 sao có sân hiên, nhà hàng và quầy bar. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Một số phòng tại chỗ nghỉ có ban công với view thành phố.

Một số phòng có bếp với tủ lạnh, lò vi sóng và minibar.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn à la carte, kiểu Mỹ hoặc kiểu Á cho bữa sáng.

Sân bay quốc tế Vân Đồn cách 123 km.",10,3.0
https://www.booking.com/hotel/vn/may-retreat-huu-lung.vi.html,May Retreat - Huu Lung,"Yên Thịnh, Hữu Lũng, Lạng Sơn, Việt Nam","Nhìn ra núi, May Retreat - Huu Lung ở Lạng Sơn cung cấp chỗ nghỉ có xe đạp miễn phí, khu vườn, phòng chờ chung, sân hiên và nhà hàng. WiFi và chỗ đậu xe riêng đều có sẵn tại lodge miễn phí.

Nơi đây còn có phòng tắm riêng với vòi sen và máy sấy tóc ở từng căn, cùng dép đi trong phòng.

Khách tại May Retreat - Huu Lung có thể thưởng thức bữa sáng thực đơn à la carte hoặc kiểu Á.

Du khách có thể leo núi và đi xe đạp trong khu vực, đồng thời chỗ nghỉ cũng có nhiều tiện nghi thể thao dưới nước.

Chỗ nghỉ cách Sân bay Quốc tế Nội Bài 106 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.5,
https://www.booking.com/hotel/vn/nha-nghi-quynh-van-thanh-pho-lang-son.vi.html,nhà nghỉ Quỳnh Vân,"50 Phố Đinh Liệt, Lạng Sơn, Việt Nam","Nằm ở Lạng Sơn, nhà nghỉ Quỳnh Vân cung cấp chỗ nghỉ có Wi-Fi miễn phí và khu vườn với sân hiên.

Sân bay gần nhất là Sân bay quốc tế Vân Đồn, cách khách sạn căn hộ 123 km.",8.5,
https://www.booking.com/hotel/vn/muong-thanh-lang-son.vi.html,Muong Thanh Luxury Lang Son Hotel,"68 Ngo Quyen, Lạng Sơn, Việt Nam","Muong Thanh cung cấp các phòng nghỉ máy lạnh hiện đại ở trong trung tâm Thành phố Lạng Sơn. Cách Chợ Đêm 10 phút lái xe, du khách có thể thư giãn bên hồ bơi ngoài trời của khách sạn hoặc thưởng thức dịch vụ mát-xa thư giãn. Wi-Fi được cung cấp miễn phí tại đây.

Các phòng sáng sủa với sàn trải thảm hoặc bằng gỗ của khách sạn được trang bị truyền hình cáp màn hình phẳng, minibar và phòng tắm riêng với bồn tắm.

Muong Thanh Luxury Lang Son Hotel có phòng tập thể dục và sân tennis. Tại đây cũng có hồ bơi spa, phòng xông hơi và phòng tắm hơi. Ngoài ra còn có các dịch vụ khác cho khách như bàn bán tour, cho thuê xe đạp và dịch vụ phòng.

Nhà hàng của khách sạn phục vụ thực đơn đa dạng gồm các món ăn địa phương và quốc tế cho tất cả các bữa ăn.

Từ Muong Than Lang Son chỉ cần lái xe 10 phút là tới chợ Đông Kinh và Kỳ Lừa. Bến xe buýt cách đó 100 m.",8.3,5.0
https://www.booking.com/hotel/vn/white-lang-son.vi.html,WHITE HOTEL,"37 Lê Hồng Phong Phường Tam Thanh, Lạng Sơn, Việt Nam","Tọa lạc ở Lạng Sơn, WHITE HOTEL cung cấp chỗ nghỉ 3 sao có khu vườn, phòng chờ chung và sân hiên. Ngoài dịch vụ tiền sảnh, chỗ nghỉ này còn có công viên nước. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón, dịch vụ phòng và Wi-Fi miễn phí.

Sân bay quốc tế Vân Đồn cách 125 km.",7.6,3.0
