url,name,location,description,point,star
https://www.booking.com/hotel/vn/flower-villa-10-minutes-by-motorbike-to-the-old-town.vi.html,Flower Villa,"Thon Thanh Nhut, Cẩm Thanh, Hội An, Việt Nam","Nằm ở Hội An và cách Hội Quán Chi Hội Triều Châu Trung Quốc 4.5 km, Flower Villa cung cấp dịch vụ tiền sảnh, các phòng không gây dị ứng, hồ bơi ngoài trời, Wi-Fi miễn phí ở toàn bộ chỗ nghỉ và khu vườn. Khách sạn 4 sao này có bếp chung và dịch vụ phòng. Đây là chỗ nghỉ không hút thuốc và tọa lạc cách Bảo tàng lịch sử Hội An 4.9 km.

Tại khách sạn, các phòng đều có điều hòa, bàn làm việc, sân hiên với view thành phố, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Mỗi phòng đều được thiết kế có ấm đun nước, trong đó một số phòng có bếp nhỏ với tủ lạnh và lò vi sóng. Tất cả các phòng có tủ quần áo.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn à la carte, kiểu lục địa hoặc kiểu Á cho bữa sáng. Tại Flower Villa, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực Địa Trung Hải và Á.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, chỗ nghỉ có dịch vụ thuê xe đạp và dịch vụ thuê ô tô.

Thành thạo cả tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn sẵn lòng hỗ trợ khách lên kế hoạch cho kỳ nghỉ.

Flower Villa cách Chùa Cầu 5.4 km và Sân golf Montgomerie Links 15 km. Chỗ nghỉ cách Sân bay Quốc tế Đà Nẵng 33 km và cung cấp dịch vụ đưa đón sân bay mất phí.",9.1,4.0
https://www.booking.com/hotel/vn/villa-hoi-an-dimovilla.vi.html,Villa Hoi an-DimoVilla,"179 Lê Thánh Tông, Tân Thành (1), Việt Nam","Nhìn ra thành phố, Villa Hoi an-DimoVilla ở Tân Thành (1) cung cấp chỗ nghỉ có hồ bơi ngoài trời, khu vườn, phòng chờ chung, sân hiên và quầy bar. WiFi và chỗ đậu xe riêng đều có sẵn tại khách sạn căn hộ miễn phí.

Mỗi căn đều có ban công nhìn ra hồ bơi, TV màn hình phẳng, khu vực ghế ngồi, bếp tiện nghi, cùng phòng tắm riêng có vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí.

Khách có thể thưởng thức bữa sáng thực đơn buffet, kiểu Á hoặc món chay tại chỗ nghỉ.

Villa Hoi an-DimoVilla cách Bãi biển An Bàng 2.6 km và Hội Quán Chi Hội Triều Châu Trung Quốc 2.2 km.",9.5,3.0
https://www.booking.com/hotel/vn/raon-villa-thanh-pho-hoi-an.vi.html,RAON Boutique Villa,"Trần Nhân Tông, Cẩm Thanh, Hội An, Việt Nam","Tọa lạc ở Hội An, cách Hội Quán Chi Hội Triều Châu Trung Quốc 4.6 km, RAON Boutique Villa cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và phòng chờ chung. Khách sạn 4 sao này cung cấp bếp chung, dịch vụ phòng và Wi-Fi miễn phí. Khách sạn có sân hiên và nhìn ra thành phố, ngoài ra du khách có thể thưởng thức bữa ăn tại nhà hàng hoặc đồ uống tại quầy bar.

Tại khách sạn, mỗi phòng đều được thiết kế có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Mỗi phòng đều có ấm đun nước, trong đó một số phòng có bếp nhỏ với tủ lạnh. Tại RAON Boutique Villa, các phòng đều có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn à la carte, kiểu lục địa hoặc kiểu Anh/ Ai-len hằng ngày.

Khách sạn này có dịch vụ thuê xe đạp và dịch vụ thuê ô tô. Ngoài ra, đi xe đạp là hoạt động được ưa chuộng trong khu vực.

Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Chỗ nghỉ cách Bảo tàng lịch sử Hội An 5 km. Sân bay Quốc tế Đà Nẵng cách 33 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.8,4.0
https://www.booking.com/hotel/vn/palm-village-hoian.vi.html,Palm Boutique Village - STAY 24H,"254 Cửa Đại, Cẩm Châu, Hội An, Quảng Nam, Cẩm Châu, Hội An, Việt Nam","Palm Boutique Village - STAY 24H có hồ bơi ngoài trời, khu vườn, phòng chờ chung và nhà hàng ở Hội An. Khách sạn 4 sao này có dịch vụ phòng và dịch vụ tiền sảnh. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, bếp chung và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, mỗi phòng đều có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, bếp nhỏ, khu vực ăn uống, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tất cả các phòng có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại Palm Boutique Village - STAY 24H, tất cả các phòng đều có ga trải giường và khăn tắm.

Khách có thể thưởng thức bữa sáng thực đơn à la carte, kiểu lục địa hoặc kiểu Anh/ Ai-len tại chỗ nghỉ.

Chỗ nghỉ có sân hiên phơi nắng.

Palm Boutique Village - STAY 24H cách Bãi biển Cửa Đại 2.2 km và Bãi biển An Bàng 2.3 km.",9.1,4.0
https://www.booking.com/hotel/vn/raon-hoian-beach.vi.html,RAON Hoian Beach,"16 Lạc Long Quân, Cửa Đại, Hội An, Việt Nam","Tọa lạc ở Hội An, cách Bãi biển Cửa Đại 3 phút đi bộ, RAON Hoian Beach cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và sân hiên. Khách sạn 4 sao này cung cấp nhà hàng. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Phòng khách được trang bị điều hòa, TV màn hình phẳng có truyền hình vệ tinh, minibar, ấm đun nước, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và bàn làm việc. Ngoài phòng tắm riêng được trang bị vòi sen và máy sấy tóc, các phòng tại khách sạn đều có view thành phố. Tại RAON Hoian Beach, phòng nào cũng có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng thực đơn à la carte, kiểu lục địa hoặc kiểu Mỹ hằng ngày.

Khách tại chỗ nghỉ sẽ có thể tận hưởng các hoạt động ở trong Hội An và khu vực xung quanh, như leo núi.

RAON Hoian Beach cách Bãi biển An Bàng 15 phút đi bộ và Hội Quán Chi Hội Triều Châu Trung Quốc 4.6 km.",8.8,4.0
https://www.booking.com/hotel/vn/hoi-an-legend-ancient-charm.vi.html,Hoi An Legend Charm Boutique Hotel,"121 Nguyễn Tri Phương, Cẩm Nam, Hội An, Quảng Nam, Cẩm Nam, Hội An, Việt Nam","Tọa lạc ở Hội An, cách Hội Quán Chi Hội Triều Châu Trung Quốc chưa đến 1 km, Hoi An Legend Charm Boutique Hotel cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và nhà hàng. Ngoài Wi-Fi miễn phí, khách sạn 3 sao này còn cung cấp dịch vụ phòng và bàn bán tour. Chỗ nghỉ này cung cấp dịch vụ đưa đón sân bay và dịch vụ cho thuê xe đạp.

Tại khách sạn, phòng nào cũng có điều hòa, bàn làm việc, sân hiên với view hồ bơi, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Phòng khách đều có tủ quần áo và ấm đun nước để khách sử dụng.

Khách tại Hoi An Legend Charm Boutique Hotel có thể thưởng thức bữa sáng thực đơn à la carte hoặc kiểu Á.

Chỗ nghỉ cách Bảo tàng lịch sử Hội An 19 phút đi bộ và Chùa Cầu 1.7 km.",9,3.0
https://www.booking.com/hotel/vn/december-villa.vi.html,December Hoi An Villa,"99 Pham Van Dong Street, Tân An, Hội An, Việt Nam","Nằm ở Hội An, cách Bảo tàng lịch sử Hội An 2.5 km, December Hoi An Villa cung cấp chỗ nghỉ có xe đạp miễn phí, chỗ đậu xe riêng miễn phí, hồ bơi ngoài trời và sân hiên. Chỗ nghỉ cách Chùa Cầu khoảng 2.7 km, Hội Quán Chi Hội Triều Châu Trung Quốc 3 km và Sân golf Montgomerie Links 12 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ trông trẻ và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, tất cả các phòng có điều hòa, khu vực ghế ngồi, TV màn hình phẳng có truyền hình vệ tinh, két an toàn, phòng tắm riêng, vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Mỗi phòng đều có ấm đun nước, trong đó một số phòng có bếp với tủ lạnh và bếp. Tại December Hoi An Villa, các phòng đều có ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa cho bữa sáng. Tại chỗ nghỉ, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực Mỹ, Việt và Âu. Bên cạnh đó, họ có thể yêu cầu món chay.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn 3 sao này có dịch vụ thuê ô tô.

December Hoi An Villa cách Sân golf Montgomerie Links Vietnam Golf Club 12 km và Ngũ Hành Sơn 17 km.",9.1,3.0
https://www.booking.com/hotel/vn/island-town-villas.vi.html,HA Mountain View Pool Villa,"378 Nguyen Tri Phuong Cam Nam, Cẩm Nam, Hội An, Việt Nam","Nhìn ra núi, HA Mountain View Pool Villa ở Hội An cung cấp chỗ nghỉ có xe đạp miễn phí, hồ bơi ngoài trời, khu vườn, phòng chờ chung và sân hiên. WiFi và chỗ đậu xe riêng đều có sẵn tại homestay miễn phí.

HA Mountain View Pool Villa có ban công nơi khách có thể nhìn ra hồ bơi, khu vực ghế ngồi, TV màn hình phẳng truyền hình cáp, bếp đầy đủ tiện nghi gồm tủ lạnh và lò vi sóng, cùng phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí.

Du khách có thể đi xe đạp để khám phá khu vực xung quanh, đồng thời chỗ nghỉ có thể sắp xếp dịch vụ cho thuê ô tô.

HA Mountain View Pool Villa cách Hội Quán Chi Hội Triều Châu Trung Quốc 1.8 km và Bảo tàng lịch sử Hội An 2.6 km. Sân bay gần nhất là Sân bay Quốc tế Đà Nẵng, cách homestay 32 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.8,3.0
https://www.booking.com/hotel/vn/raon-villa.vi.html,RAON Hoi An - STAY 24H,"481 Trần Nhân Tông Cẩm Thanh, Cẩm Thanh, Hội An, Việt Nam","Nằm ở Hội An, cách Hội Quán Chi Hội Triều Châu Trung Quốc 5.1 km, RAON Hoi An - STAY 24H cung cấp chỗ nghỉ có hồ bơi ngoài trời, chỗ đậu xe riêng miễn phí, khu vườn và nhà hàng. Chỗ nghỉ cách Bảo tàng lịch sử Hội An khoảng 5.5 km, Chùa Cầu 6.1 km và Sân golf Montgomerie Links 16 km. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Tại khách sạn, tất cả các phòng có điều hòa, bàn làm việc, sân hiên với view thành phố, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Các phòng đều đi kèm với két an toàn, trong đó một số phòng có ban công và một số khác cũng nhìn ra hồ bơi. Các căn đều có tủ quần áo và ấm đun nước để khách sử dụng.

Khách tại RAON Hoi An - STAY 24H có thể thưởng thức bữa sáng thực đơn à la carte hoặc kiểu Á.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn 4 sao này có dịch vụ thuê ô tô.

Chỗ nghỉ cách Sân golf Montgomerie Links Vietnam Golf Club 16 km và Ngũ Hành Sơn 20 km.",8.7,4.0
https://www.booking.com/hotel/vn/ahoy-hoi-an-boutique-resort-amp-spa.vi.html,Ahoy Hoi An Boutique Resort & Spa,"K300 Cửa Đại, Cẩm Châu, Hội An, Việt Nam","Ahoy Hoi An Boutique Resort & Spa có xe đạp miễn phí, hồ bơi ngoài trời, trung tâm thể dục và khu vườn ở Hội An. Ngoài dịch vụ phòng, chỗ nghỉ này còn có sân hiên. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, phòng chờ chung và Wi-Fi miễn phí.

Khách sạn sẽ cung cấp cho du khách các phòng có điều hòa, bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng, ban công, phòng tắm riêng và vòi sen. Tại Ahoy Hoi An Boutique Resort & Spa, các phòng đều đi kèm với ga trải giường và khăn tắm.

Hằng ngày, chỗ nghỉ có các lựa chọn thực đơn buffet, thực đơn à la carte hoặc kiểu lục địa cho bữa sáng. Tại chỗ nghỉ, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực Mỹ, Ý và Việt. Bên cạnh đó, họ có thể yêu cầu món chay.

Khách tại Ahoy Hoi An Boutique Resort & Spa sẽ có thể tận hưởng các hoạt động ở trong Hội An và khu vực xung quanh, như đi xe đạp.

Khách sạn cách Bãi biển An Bàng 2.3 km và Bãi biển Cửa Đại 2.8 km.",9.6,5.0
