url,name,location,description,point,star
https://www.booking.com/hotel/vn/vinh-apartment.vi.html,Vinh Home Apartment,"Đông Lương, Đông Hải, Đông Hà, Quảng Trị, Việt Nam","Vinh Home Apartment cung cấp chỗ nghỉ tại Quảng Trị. Khách sạn còn cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, các phòng đều có tủ quần áo, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Tất cả các phòng đều có tủ lạnh.

Thành thạo cả tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân luôn sẵn lòng hỗ trợ khách lên kế hoạch cho kỳ nghỉ.

Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách Vinh Home Apartment 81 km.",9,
https://www.booking.com/hotel/vn/muong-thanh-quang-tri.vi.html,Muong Thanh Grand Quang Tri Hotel,"68 Le Duan, Quảng Trị, Việt Nam","Muong Thanh Quang Tri Hotel nằm ở một vị trí yên tĩnh của tỉnh Quảng Trị. Nơi đây có hồ bơi trong nhà, Wi-Fi miễn phí và trung tâm thể dục hiện đại. Các phòng đều được bài trí trang nhã và gắn máy lạnh.

Các phòng nghỉ ở đây rộng rãi và sáng sủa. Mỗi phòng đều được trang bị tủ lạnh nhỏ, ấm đun nước điện và khu vực tiếp khách thoải mái. Phòng tắm riêng đầy phong cách đi kèm đồ vệ sinh cá nhân miễn phí, máy sấy tóc và bồn tắm.

Muong Thanh Quang Tri Hotel có chỗ để hành lý, tiện nghi đỗ xe miễn phí và sảnh khách chung. Dịch vụ mát-xa truyền thống có thể được bố trí theo yêu cầu. Để tạo thuận tiện cho quý khách, nơi đây còn cung cấp dịch vụ đưa đón và vận chuyển sân bay với một khoản phụ phí.

Quý khách có thể thưởng thức các món ăn châu Á và quốc tế tại nhà hàng trong khuôn viên. Các lựa chọn ăn uống trong phòng và bữa sáng cũng có thể được phục vụ trong phòng theo yêu cầu.

Tòa nhà hiện đại này cách Sân bay Phú Bài khoảng 79 km.",7.9,4.0
https://www.booking.com/hotel/vn/khach-san-nam-dong-dong-ha1.vi.html,Khách sạn nam đông,"Lê Duẩn 348, Quảng Trị, Việt Nam","Khách sạn nam đông nằm ở Quảng Trị và có sân hiên. Ngoài khu vườn, khách sạn 2 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Tại khách sạn, các phòng đều có ban công. Tất cả các phòng ở Khách sạn nam đông được trang bị TV màn hình phẳng và đồ vệ sinh cá nhân miễn phí.

Đội ngũ nhân viên của chỗ nghỉ luôn túc trực tại lễ tân 24/24 để cung cấp đề xuất cho du khách.

Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách Khách sạn nam đông 81 km.",6.1,2.0
https://www.booking.com/hotel/vn/nha-nghi-phuong-dong-tp-dong-ha-tinh-quang-tri.vi.html,Nhà nghỉ PHƯƠNG ĐÔNG,"25/12 lương khánh thiện Tp đông hà, Quảng Trị, Việt Nam","Nhà nghỉ PHƯƠNG ĐÔNG có khu vườn và quầy bar ở Quảng Trị. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách.

Tại khách sạn, các phòng đều có điều hòa, bàn làm việc, sân hiên với view thành phố, phòng tắm riêng, TV màn hình phẳng, ga trải giường và khăn tắm. Các phòng đều đi kèm với ấm đun nước, trong đó một số phòng có ban công. Tất cả các phòng ở Nhà nghỉ PHƯƠNG ĐÔNG được trang bị đồ vệ sinh cá nhân miễn phí và ổ cắm iPod.

Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách chỗ nghỉ 85 km.",7.1,
https://www.booking.com/hotel/vn/nha-nghi-thanh-thuy-thanh-pho-dong-ha.vi.html,Nhà Nghỉ Thanh Thuý,"538 Quốc lộ 9, Khu phố 4, Phường 4, Quảng Trị, Việt Nam","Nhà Nghỉ Thanh Thuý tọa lạc ở Quảng Trị, cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí, cũng như sân hiên.

Nhà nghỉ B&B có TV màn hình phẳng và phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, dép đi trong phòng và vòi xịt/chậu rửa vệ sinh.

Khách tại Nhà Nghỉ Thanh Thuý có thể thưởng thức bữa sáng thực đơn à la carte.

Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách chỗ nghỉ 87 km.",7.8,
https://www.booking.com/hotel/vn/khach-san-nhu-mai.vi.html,Khách Sạn Như Mai,"253 Lê Duẩn, Quảng Trị, Việt Nam","Khách Sạn Như Mai nằm ở Quảng Trị và có khu vườn. Khách sạn còn cung cấp Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí.

Tại khách sạn, các phòng đều đi kèm với điều hòa, bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm và sân hiên với view thành phố. Tất cả các phòng đều có tủ quần áo và ấm đun nước để khách sử dụng.

Thành thạo tiếng Anh và tiếng Việt, đội ngũ nhân viên tại lễ tân 24/24 luôn túc trực để hỗ trợ khách.

Sân bay quốc tế Phú Bài cách 82 km.",,
https://www.booking.com/hotel/vn/palm-garden-house.vi.html,PALM GARDEN HOUSE,"258 Hùng Vương Công Viên sinh thái Cọ Dầu, Quảng Trị, Việt Nam","Tọa lạc ở Quảng Trị, PALM GARDEN HOUSE có xe đạp miễn phí, khu vườn, sân hiên, cùng Wi-Fi miễn phí. Chỗ nghỉ có chỗ đậu xe riêng miễn phí và có cả dịch vụ đưa đón sân bay mất phí.

Mỗi phòng đều được thiết kế có phòng tắm riêng, ngoài ra một số căn tại guest house có ban công.

Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.

Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách PALM GARDEN HOUSE 82 km.",7.5,3.0
https://www.booking.com/hotel/vn/bao-ngoc-thanh-pho-dong-ha.vi.html,Bảo ngọc,"04 Ngô Sĩ Liên, Quảng Trị, Việt Nam","Bảo ngọc có khu vườn, sân hiên, nhà hàng và quầy bar ở Quảng Trị. Chỗ nghỉ này có các tiện nghi như dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Các phòng ở khách sạn tình nhân được trang bị ấm đun nước. Tại Bảo ngọc, tất cả các phòng đều được thiết kế có TV màn hình phẳng, phòng tắm riêng và ban công với view sông.

Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách chỗ nghỉ 83 km.",,
https://www.booking.com/hotel/vn/khach-san-phung-hoang-thanh-pho-dong-ha.vi.html,KHÁCH SẠN PHỤNG HOÀNG,"146 Lê Duẩn, Quảng Trị, Việt Nam","KHÁCH SẠN PHỤNG HOÀNG là chỗ nghỉ 2 sao tọa lạc ở Quảng Trị Chỗ nghỉ này có các tiện nghi như nhà hàng, dịch vụ phòng và quầy lễ tân 24 giờ, cùng với Wi-Fi miễn phí ở toàn bộ chỗ nghỉ. Một số căn tại chỗ nghỉ có sân hiên với view thành phố.

Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách khách sạn 82 km.",8.6,2.0
https://www.booking.com/hotel/vn/nha-nghi-binh-an-thanh-pho-dong-ha.vi.html,Nhà nghỉ Bình An - Binh An Motel,"207 Lê Duẩn, Quảng Trị, Việt Nam","Nhà nghỉ Bình An - Binh An Motel nằm ở Quảng Trị, nhìn ra thành phố và có Wi-Fi miễn phí cùng chỗ đậu xe riêng miễn phí.

Được thiết kế với sân hiên, các căn có điều hòa, TV màn hình phẳng, cùng phòng tắm riêng gồm vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí.

Khách cũng có thể thư giãn trong khu vườn.

Sân bay gần nhất là Sân bay quốc tế Phú Bài, cách nhà nghỉ B&B 85 km.",3,
