url,name,location,description,point,star
https://www.booking.com/hotel/vn/sai-gon-quan-11.vi.html,Sai Gon Hotel Bui Vien Walking Street,"40/13 Bùi Viện Phạm Ngũ Lão , District 1 , Ho Chi Minh City, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nằm tại vị trí thuận tiện ở TP. Hồ Chí Minh, Sai Gon Hotel Bui Vien Walking Street cung cấp các phòng điều hòa với Wi-Fi miễn phí, chỗ đậu xe riêng miễn phí và dịch vụ phòng. Khách sạn 2 sao này có phòng chờ chung và quầy lễ tân 24 giờ. Đây là chỗ nghỉ không gây dị ứng và nằm cách Bảo tàng Mỹ thuật 8 phút đi bộ.

Tại khách sạn, các phòng đều đi kèm với bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Các phòng đều có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra thành phố. Tại Sai Gon Hotel Bui Vien Walking Street, tất cả các phòng có khu vực ghế ngồi.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Trung tâm mua sắm Takashimaya Việt Nam, Chợ Bến Thành và Công viên Tao Đàn. Sân bay Quốc tế Tân Sơn Nhất cách 7 km.",7.7,2.0
https://www.booking.com/hotel/vn/sen-saigon-hotel.vi.html,Sen Sai Gon Hotel - Ben Thanh Market,"82 Le Lai Street, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nằm cách Trung tâm thương mại Zen Plaza cũng như Chợ Bến Thành 3 phút đi bộ, Sen Sai Gon Hotel - Ben Thanh Market cung cấp các phòng hiện đại với truy cập Wi-Fi miễn phí. Khách sạn 6 tầng này có thang máy và quầy lễ tân 24 giờ.

Khách sạn nằm đối diện với Công viên 23/9 và có một số lựa chọn ăn uống bao quanh. Từ Sen Sai Gon Hotel - Ben Thanh Market, quý khách chỉ cần đi bộ 15 phút là đến các điểm tham quan của địa phương như Nhà thờ Đức Bà Sài Gòn, Nhà hát lớn Thành phố Hồ Chí Minh và Bảo tàng Chứng tích Chiến tranh. Chỗ ở này cách Ga Sài Gòn 15 phút lái xe và cách Sân bay Quốc tế Tân Sơn Nhất 30 phút lái xe.

Các phòng máy lạnh tại đây được trang bị truyền hình cáp màn hình phẳng và minibar. Phòng tắm riêng đi kèm với tiện nghi vòi sen và máy sấy tóc. Một số phòng chọn lọc còn có cửa sổ và được cung cấp tùy vào tình trạng sẵn có.

Két an toàn và tiện nghi để hành lý có tại quầy lễ tân. Các dịch vụ giặt thường, giặt hấp và đưa đón sân bay cũng được cung cấp với một khoản phụ phí. Ngoài ra còn có các tiện nghi khác như dịch vụ cho thuê xe hơi và bàn đặt tour.",7.2,2.0
https://www.booking.com/hotel/vn/california-saigon-quan-1.vi.html,California Saigon Hotel & Rooftop Pool,"52 Thủ Khoa Huân, Quận 1, TP. Hồ Chí Minh, Việt Nam","California Saigon Hotel & Rooftop Pool có hồ bơi ngoài trời, trung tâm thể dục, khu vườn và sân hiên ở TP. Hồ Chí Minh. Với quầy bar, khách sạn nằm gần một số điểm tham quan nổi tiếng, cách Chợ Bến Thành chỉ vài bước chân, Bảo tàng Thành phố Hồ Chí Minh 8 phút đi bộ và Trung tâm mua sắm Takashimaya Việt Nam 600 m. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách có thể thưởng thức bữa sáng thực đơn buffet, kiểu Mỹ hoặc kiểu Á tại chỗ nghỉ. Tại khách sạn, khách sẽ tìm thấy nhà hàng phục vụ ẩm thực địa phương, Á và quốc tế. Bên cạnh đó, họ có thể yêu cầu món chay, không chứa sữa và đồ ăn Halal.

California Saigon Hotel & Rooftop Pool cung cấp chỗ nghỉ 4 sao với bể sục.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Công viên Tao Đàn, Ủy ban nhân dân Thành phố Hồ Chí Minh và Trung tâm Thương mại Vincom Center A. Sân bay Quốc tế Tân Sơn Nhất cách 7 km.",7.5,4.0
https://www.booking.com/hotel/vn/ngan-ha-ho-tel.vi.html,Nicecy NganHa Hotel,"190 Le Thanh Ton, Quận 1, TP. Hồ Chí Minh, Việt Nam","Có vị trí thuận tiện ở Quận 1, Nicecy NganHa Hotel cung cấp các phòng nghỉ trang nhã và thoải mái với Wi-Fi miễn phí tại các khu vực chung. Nơi nghỉ này có lễ tân 24 giờ và chỗ đỗ xe máy miễn phí.

Khách sạn cách Chợ Bến Thành nổi tiếng chỉ 200 m và Bảo tàng Mỹ thuật 400 m. Dinh Độc Lập và Sân bay Quốc tế Tân Sơn Nhất cách đó lần lượt 500 m và 7 km lái xe.

Các phòng máy lạnh được bài trí đơn giản tại đây có tủ quần áo, khu vực tiếp khách, minibar và truyền hình cáp. Ngoài ra còn bao gồm phòng tắm riêng với bồn tắm/tiện nghi vòi sen. Đồ vệ sinh cá nhân được cung cấp miễn phí.

Nhân viên thân thiện tại Nicecy NganHa Hotel sẵn lòng hỗ trợ quý khách với các dịch vụ để hành lý, đặt vé và fax/photocopy. Dịch vụ đưa đón và vận chuyển sân bay có thể được bố trí với một khoản phụ phí.

Nhà hàng nhìn ra thành phố trên tầng 9 của khách sạn phục vụ nhiều món ăn ngon của Việt Nam và phương Tây.",7.9,2.0
https://www.booking.com/hotel/vn/ho-sen-lotus-lake.vi.html,Nicecy Saigon Hotel,"4B - 4C Thi Sach, Ben Nghe Ward, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nicecy Saigon Hotel có WiFi miễn phí và tầm nhìn ra Thành phố Hồ Chí Minh. Khách sạn này nằm cách Chợ Bến Thành 5 phút lái xe.

Bảo tàng Lịch sử và Nhà thờ Đức Bà nằm trong bán kính 5 phút lái xe từ Nicecy Saigon Hotel. Sân bay quốc tế Tân Sơn Nhất cách đó 17 phút lái xe.

Phòng nghỉ tiện nghi tại Nicecy Saigon Hotel được trang bị máy điều hòa, WiFi, TV, két an toàn và máy sấy tóc.

Nicecy Saigon Hotel có dịch vụ văn phòng và dịch vụ cho thuê phương tiện đi lại cũng như xe trung chuyển sân bay. Chỗ nghỉ cũng cung cấp dịch vụ thu đổi ngoại tệ và dịch vụ giặt là theo yêu cầu.

Du khách có thể lựa chọn dùng bữa tại nhà hàng của khách sạn.",8.4,3.0
https://www.booking.com/hotel/vn/genius-saigon-center-linity-serviced-apartments.vi.html,Genius Saigon Center - Linity Serviced Apartments,"100 Cô Giang, Quận 1, TP. Hồ Chí Minh, Việt Nam","Cách Bảo tàng Mỹ thuật 12 phút đi bộ, Genius Saigon Center - Linity Serviced Apartments có điều hòa và ban công.

Mỗi căn đều có sân hiên nhìn ra thành phố, TV màn hình phẳng, khu vực ăn uống, bếp tiện nghi, cùng phòng tắm riêng có vòi sen, máy sấy tóc và dép đi trong phòng.

Khách cũng có thể thư giãn trong khu vực phòng chờ chung.

Các điểm tham quan nổi tiếng gần căn hộ bao gồm Trung tâm mua sắm Takashimaya Việt Nam, Chợ Bến Thành và Công viên Tao Đàn. Sân bay Quốc tế Tân Sơn Nhất cách 8 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",9.9,5.0
https://www.booking.com/hotel/vn/projector-bathtub-netflix-511-bancony-quan-1.vi.html,Saigon Hideout,"511 Đường Trần Hưng Đạo, Quận 1, TP. Hồ Chí Minh, Việt Nam","Saigon Hideout ở TP. Hồ Chí Minh cung cấp bể sục, điều hòa, Wi-Fi miễn phí và cách Bảo tàng Mỹ thuật 2.1 km.

Nơi đây còn có phòng tắm riêng với vòi sen và đồ vệ sinh cá nhân miễn phí ở từng căn, cùng máy sấy tóc.

Căn hộ cách Trung tâm mua sắm Takashimaya Việt Nam 2.3 km và Chợ Bến Thành 2.5 km.",8.6,3.0
https://www.booking.com/hotel/vn/du-homestay-hoang-sa-d3.vi.html,Du Homestay 7,"1051 Hoàng Sa tâng 1,2,3, Quận 3, TP. Hồ Chí Minh, Việt Nam","Du Homestay 7 ở TP. Hồ Chí Minh nằm cách Chợ Tân Định 2.8 km, cung cấp chỗ nghỉ có điều hòa, Wi-Fi miễn phí, cũng như sân hiên.

Tủ lạnh và ấm đun nước đều được cung cấp.

Homestay cách Bảo tàng chứng tích chiến tranh 3.4 km và Dinh Thống Nhất 3.8 km. Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách Du Homestay 7 3 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",6.4,
https://www.booking.com/hotel/vn/vo-gia-apartment.vi.html,Viet Ha Hotel,"16 Hát Giang, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam","Tọa lạc ở TP. Hồ Chí Minh, Viet Ha Hotel cung cấp Wi-Fi miễn phí, nơi khách có thể trải nghiệm khu vườn, sân hiên và quầy bar.

Được thiết kế với sân trong, các căn có điều hòa, TV màn hình phẳng, cùng phòng tắm riêng gồm vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí. Ở đây có khu vực ghế ngồi và ăn uống trong tất cả các căn.

Căn hộ cách Chợ Tân Định 5.6 km và Chùa Giác Lâm 5.6 km.",8.5,4.0
https://www.booking.com/hotel/vn/s-house-ho-chi-minh.vi.html,D's House,"21/14 Lý Chính Thắng,Quận 3, Quận 3, TP. Hồ Chí Minh, Việt Nam","Nhìn ra khu vườn, D's House cung cấp chỗ nghỉ có sân hiên và ban công, cách Bảo tàng chứng tích chiến tranh khoảng 1.8 km. Chỗ nghỉ điều hòa này cách Chợ Tân Định 4 phút đi bộ, khách có thể sử dụng chỗ đậu xe riêng có sẵn trong khuôn viên và Wi-Fi miễn phí.

Homestay có TV màn hình phẳng truyền hình vệ tinh. Khăn tắm và ga trải giường có sẵn ở homestay.

Các điểm tham quan nổi tiếng gần homestay bao gồm Trung Tâm Thương Mại Diamond Plaza, Dinh Thống Nhất và Nhà thờ Đức Bà. Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách D's House 5 km.",,
https://www.booking.com/hotel/vn/ua24h-quan-1.vi.html,Long Home 2,"15 Hoàng Sa, Quận 1, TP. Hồ Chí Minh, Việt Nam","Tọa lạc ở TP. Hồ Chí Minh, cách Bảo tàng lịch sử Việt Nam 8 phút đi bộ và Trung Tâm Thương Mại Diamond Plaza 1.8 km, Long Home 2 có Wi-Fi miễn phí, sân hiên và điều hòa. Chỗ nghỉ này cung cấp ban công và nhìn ra thành phố.

Khăn tắm và ga trải giường có sẵn ở nhà nghỉ B&B.

Nhà nghỉ B&B cách Bưu điện Trung tâm 2 km và Nhà thờ Đức Bà 1.9 km. Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách Long Home 2 6 km.",7.2,3.0
https://www.booking.com/hotel/vn/benthanh-homestay-and-apartment.vi.html,Ben Thanh Inn - M&A,"44/1 Đ. Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh, Việt Nam, Quận 1, TP. Hồ Chí Minh, Việt Nam","Tọa lạc ở TP. Hồ Chí Minh, cách Bảo tàng Mỹ thuật 6 phút đi bộ và Trung tâm mua sắm Takashimaya Việt Nam 400 m, Ben Thanh Inn - M&A cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa và khu vườn.

Căn hộ có TV màn hình phẳng và phòng tắm riêng với đồ vệ sinh cá nhân miễn phí, máy sấy tóc và vòi xịt/chậu rửa vệ sinh.

Các điểm tham quan nổi tiếng gần Ben Thanh Inn - M&A bao gồm Trung tâm Thương mại Vincom Center A, Ủy ban nhân dân Thành phố Hồ Chí Minh và Nhà hát Thành phố. Sân bay Quốc tế Tân Sơn Nhất cách 7 km.",8.9,3.0
https://www.booking.com/hotel/vn/pine-tree-amp-apartment.vi.html,Spring Hill Apartment -The High Class,"31 Hưng Gia 3, Quận 7, TP. Hồ Chí Minh, Việt Nam","Nằm ở TP. Hồ Chí Minh, cách Trung tâm Triển lãm và Hội nghị Sài Gòn 1.8 km và Bến cảng Nhà Rồng 6.4 km, Spring Hill Apartment -The High Class cung cấp chỗ nghỉ có Wi-Fi miễn phí, điều hòa, sân hiên và quầy bar.

Mỗi căn được thiết kế gồm bếp nhỏ đầy đủ tiện nghi với bàn ăn, TV có truyền hình cáp, cùng phòng tắm riêng có vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Một số căn có ban công và/hoặc sân trong nhìn ra thành phố hoặc khu vườn.

Khách sạn căn hộ có dịch vụ cho thuê ô tô.

Spring Hill Apartment -The High Class cách Bảo tàng Mỹ thuật 6.7 km. Sân bay Quốc tế Tân Sơn Nhất cách 13 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.9,4.0
https://www.booking.com/hotel/vn/sky-riverside-amp-apartment.vi.html,Sky Riverside Hotel & Apartment,"89/21 Phan Huy Ích, Phường 15, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam","Tọa lạc ở TP. Hồ Chí Minh, cách Chùa Giác Lâm 7.1 km, Sky Riverside Hotel & Apartment cung cấp chỗ nghỉ có khu vườn, chỗ đậu xe riêng miễn phí, sân hiên và quầy bar. Khách sạn 3 sao này cung cấp dịch vụ phòng, quầy lễ tân 24 giờ và Wi-Fi miễn phí. Đây là chỗ nghỉ không hút thuốc và nằm cách Công viên văn hóa Đầm Sen 7.7 km.

Tại khách sạn, mỗi phòng đều có điều hòa, bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường, khăn tắm và sân trong với view thành phố. Tất cả các phòng đều được thiết kế có ấm đun nước, trong đó một số phòng có ban công và một số khác thì nhìn ra khu vườn. Các phòng đều có tủ lạnh.

Sky Riverside Hotel & Apartment cách Chợ Tân Định 9.3 km và Bảo tàng chứng tích chiến tranh 10 km.",9,3.0
https://www.booking.com/hotel/vn/mark-apartment.vi.html,Mark Apartment - Rivergate residence,"151 Đường Bến Vân Đồn, Quận 1, TP. Hồ Chí Minh, Việt Nam","Là chỗ nghỉ với hồ bơi ngoài trời và nhìn ra hồ bơi, Mark Apartment - Rivergate residence nằm tại vị trí thuận tiện ở TP. Hồ Chí Minh, cách Bảo tàng Mỹ thuật, Trung tâm mua sắm Takashimaya Việt Nam và Chợ Bến Thành một đoạn ngắn. Chỗ đậu xe riêng có sẵn trong khuôn viên.

Căn hộ có ban công nơi khách có thể nhìn ra thành phố, khu vực ghế ngồi, TV màn hình phẳng, bếp đầy đủ tiện nghi gồm tủ lạnh và lò vi sóng, cùng phòng tắm riêng được trang bị vòi sen và máy sấy tóc.

Các điểm tham quan nổi tiếng gần Mark Apartment - Rivergate residence bao gồm Công viên Tao Đàn, Trung tâm Thương mại Vincom Center A và Ủy ban nhân dân Thành phố Hồ Chí Minh. Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách chỗ nghỉ 9 km.",9.8,3.0
https://www.booking.com/hotel/vn/lalahouse-summer-park.vi.html,LalaHouse Summer Park,"49l Phan Đăng Lưu, Phú Nhuận, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam","Cách Chợ Tân Định 1.9 km và Bảo tàng lịch sử Việt Nam 3.2 km ở TP. Hồ Chí Minh, LalaHouse Summer Park cung cấp chỗ nghỉ có Wi-Fi miễn phí và khu vực ghế ngồi.

Chỗ nghỉ có điều hòa, bếp nhỏ đầy đủ tiện nghi với khu vực ăn uống, TV màn hình phẳng, cũng như phòng tắm riêng với vòi xịt/chậu rửa vệ sinh, đồ vệ sinh cá nhân miễn phí và máy sấy tóc. Tủ lạnh và bếp, cũng như ấm đun nước đều được cung cấp.

Khách sạn căn hộ cách Trung Tâm Thương Mại Diamond Plaza 3.6 km và Bưu điện Trung tâm 3.8 km. Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách LalaHouse Summer Park 3 km, đồng thời chỗ nghỉ có cung cấp dịch vụ đưa đón sân bay mất phí.",8.2,3.0
https://www.booking.com/hotel/vn/mai-gia-huy.vi.html,Nicecy Boutique Hotel,"27-29 Truong Dinh, Quận 1, TP. Hồ Chí Minh, Việt Nam","Tọa lạc tại vị trí thuận tiện ở Thành phố Hồ Chí Minh, Nicecy Boutique Hotel nằm cách khu trung tâm thành phố 1 phút đi bộ và Chợ Bến Thành 200 m. Chỗ nghỉ này cung cấp các phòng tiện nghi với WiFi miễn phí.

Phòng nghỉ gắn máy điều hòa tại Metro Poinds HCM Hotel- Bến Thành Market được trang bị TV truyền hình vệ tinh và phòng tắm riêng. Du khách có thể sử dụng máy pha trà/cà phê, tủ lạnh và minibar.

Metro Poinds HCM Hotel- Bến Thành Market cung cấp dịch vụ văn phòng và cho thuê phương tiện đi lại. Chỗ nghỉ cũng cung cấp dịch vụ giặt là.

Du khách có thể dùng bữa tại nhà hàng trong khuôn viên hoặc thư giãn với đồ uống tại quán café.

Nhà thờ Đức Bà và vô số thắng cảnh khác đều nằm cách khách sạn 15 phút đi bộ. Chỗ nghỉ cũng nằm cách Sông Sài Gòn 15 phút tản bộ. Sân bay quốc tế Tân Sơn Nhất cách đó 15 phút lái xe.",7.9,3.0
https://www.booking.com/hotel/vn/vintage-boutique-amp-spa.vi.html,Vintage Boutique Hotel & Spa,"33 Đường Bùi Thị Xuân, Quận 1, TP. Hồ Chí Minh, Việt Nam","Với phòng chờ chung, nhà hàng và quầy bar, Vintage Boutique Hotel & Spa tọa lạc ở trung tâm TP. Hồ Chí Minh, cách Chợ Bến Thành 12 phút đi bộ. Chỗ nghỉ này nằm cách Bảo tàng Mỹ thuật 17 phút đi bộ, Dinh Thống Nhất 1.6 km và Trung tâm mua sắm Takashimaya Việt Nam 18 phút đi bộ. Chỗ nghỉ cung cấp lễ tân 24/24, dịch vụ đưa đón sân bay, dịch vụ phòng và Wi-Fi miễn phí ở toàn bộ chỗ nghỉ.

Khách sạn cung cấp cho khách các phòng có điều hòa, bàn làm việc, máy pha cà phê, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Tại Vintage Boutique Hotel & Spa, phòng nào cũng có ga trải giường và khăn tắm.

Chỗ nghỉ có phục vụ bữa sáng hằng ngày, gồm các lựa chọn thực đơn buffet, thực đơn à la carte và kiểu lục địa.

Đi xe đạp là hoạt động được ưa chuộng trong khu vực. Ngoài ra, khách sạn 3 sao này có dịch vụ thuê xe đạp.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Công viên Tao Đàn, Bảo tàng Thành phố Hồ Chí Minh và Bảo tàng chứng tích chiến tranh. Sân bay Quốc tế Tân Sơn Nhất cách 6 km.",7,3.0
https://www.booking.com/hotel/vn/budget-bathtub-netflix-100-projector-bui-vien-194-backroom.vi.html,Wabi Sabi - Saigon Hideout Ben Thanh,"194 Cô Giang, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nằm ở TP. Hồ Chí Minh, gần Bảo tàng Mỹ thuật, Trung tâm mua sắm Takashimaya Việt Nam và Chợ Bến Thành, Wabi Sabi - Saigon Hideout Ben Thanh có Wi-Fi miễn phí.

Mỗi căn được trang bị điều hòa, phòng tắm riêng, cùng bếp nhỏ gồm tủ lạnh và bếp.

Căn hộ cách Công viên Tao Đàn 2.2 km và Trung tâm Thương mại Vincom Center A 2.3 km. Sân bay gần nhất là Sân bay Quốc tế Tân Sơn Nhất, cách Wabi Sabi - Saigon Hideout Ben Thanh 8 km.",7.5,3.0
https://www.booking.com/hotel/vn/nicecy-bui-thi-xuan-street.vi.html,Nicecy Hotel - Bui Thi Xuan Street,"84 Đường Bùi Thị Xuân, Quận 1, TP. Hồ Chí Minh, Việt Nam","Nằm tại vị trí thuận tiện ở trung tâm TP. Hồ Chí Minh, Nicecy Hotel - Bui Thi Xuan Street cung cấp các phòng điều hòa với Wi-Fi miễn phí và chỗ đậu xe riêng miễn phí. Khách sạn 3 sao này có quầy lễ tân 24 giờ và dịch vụ tiền sảnh. Đây là chỗ nghỉ không hút thuốc và nằm cách Chợ Bến Thành 13 phút đi bộ.

Tại khách sạn, tất cả các phòng có bàn làm việc, TV màn hình phẳng, phòng tắm riêng, ga trải giường và khăn tắm. Phòng nào cũng có két an toàn và một số phòng nhìn ra thành phố. Các căn đều có tủ quần áo và ấm đun nước để khách sử dụng.

Nicecy Hotel - Bui Thi Xuan Street có phục vụ bữa sáng thực đơn buffet và kiểu Á mỗi sáng.

Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Công viên Tao Đàn, Bảo tàng Thành phố Hồ Chí Minh và Bảo tàng chứng tích chiến tranh. Sân bay Quốc tế Tân Sơn Nhất cách 6 km.",8,3.0
https://www.booking.com/hotel/vn/elegant.vi.html,ASIAN RUBY HOTEL APARTMENT - 122F Bui Thi Xuân Street,"122F – 122F1 Bui Thi Xuan, Pham Ngu Lao, Quận 1, TP. Hồ Chí Minh, Việt Nam","Tọa lạc tại một vị trí đắc địa ở trung tâm Thành phố Hồ Chí Minh, ASIAN RUBY HOTEL APARTMENT - 122F Bui Thi Xuân Street cung cấp chỗ nghỉ boutique nằm trong bán kính 20 phút đi bộ từ Chợ Bến Thành và Công viên Tao Đàn. Du khách có thể truy cập WiFi miễn phí trong toàn khuôn viên khách sạn.

ASIAN RUBY HOTEL APARTMENT - 122F Bui Thi Xuân Street nằm cách sân bay quốc tế Tân Sơn Nhất 30 phút lái xe. Dinh Thống Nhất và Nhà thờ Đức Bà đều nằm trong bán kính 10 phút lái xe từ khách sạn trong khi các điểm mua sắm và ăn uống cách đó chỉ một quãng tản bộ.

Phòng nghỉ gắn máy điều hòa tại đây được chiếu sáng rực rỡ và có két an toàn, TV màn hình phẳng cũng như tủ lạnh. Các phòng tắm riêng đi kèm tiện nghi vòi sen nước nóng và đồ vệ sinh cá nhân.

Khách sạn cung cấp dịch vụ giặt thường và giặt khô. Du khách có thể sắp xếp việc đi lại và các chuyến đi tham quan tại bàn đặt tour trong khuôn viên.

Du khách có thể dùng bữa tại nhà hàng của khách sạn, nơi phục vụ một loạt món ăn địa phương và phương Tây. Các món ăn nhẹ và đồ uống giải khát được cung cấp tại quầy bar.",8,3.0
https://www.booking.com/hotel/vn/apec-quan-1.vi.html,,,,8.8,38.0
